id,year,category,nominee,staff,company,producer,win
72,2019, Directing For A Drama Series,Game Of Thrones,"Miguel Sapochnik, Directed by",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
73,2019, Directing For A Drama Series,The Handmaid's Tale,"Daina Reid, Directed by",Hulu,"MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",False
74,2019, Directing For A Drama Series,Killing Eve,"Lisa Brühlmann, Directed by",BBC America,Sid Gentle Films Ltd.,False
75,2019, Directing For A Drama Series,Succession,"Adam McKay, Directed by",HBO,HBO Entertainment in association with Project Zeus and Gary Sanchez Productions,False
76,2019," Directing For A Limited Series, Movie Or Dramatic Special",Escape At Dannemora,"Ben Stiller, Directed by",Showtime,"Red Hour, Busyhands, The White Mountain Company, Michael De Luca Productions, BZ Entertainment",False
77,2019," Directing For A Limited Series, Movie Or Dramatic Special",Fosse/Verdon,"Jessica Yu, Directed by",FX Networks,Fox 21 Television Studios and FX Productions,False
78,2019," Directing For A Limited Series, Movie Or Dramatic Special",Fosse/Verdon,"Thomas Kail, Directed by",FX Networks,Fox 21 Television Studios and FX Productions,False
79,2019," Directing For A Limited Series, Movie Or Dramatic Special",A Very English Scandal,"Stephen Frears, Directed by",Prime Video,Blueprint and Amazon Studios,False
80,2019," Directing For A Limited Series, Movie Or Dramatic Special",When They See Us,"Ava DuVernay, Directed by",Netflix,"Participant Media, Tribeca Productions, Harpo Films, Array Filmworks",False
81,2019, Directing For A Variety Series,Documentary Now!,"Alex Buono, Directed by Rhys Thomas, Directed by",IFC,Broadway Video,False
82,2019, Directing For A Variety Series,Drunk History,"Derek Waters, Directed by",Comedy Central,"Gary Sanchez Productions, Central Productions, LLC",False
83,2019, Directing For A Variety Series,Last Week Tonight With John Oliver,"Paul Pennolino, Directed by",HBO,HBO Entertainment in association with Sixteen String Jack Productions and Avalon Television,False
84,2019, Directing For A Variety Series,The Late Show With Stephen Colbert,"Jim Hoskinson, Directed by",CBS,CBS Television Studios,False
85,2019, Directing For A Variety Series,Who Is America?,"Sacha Baron Cohen, Directed by Nathan Fielder, Directed by Daniel Gray Longino, Directed by Dan Mazer, Directed by",Showtime,"Spelthorne Community Television, Four By Two Television",False
86,2019, Directing For A Variety Special,Carpool Karaoke: When Corden Met McCartney Live From Liverpool,"Ben Winston, Directed by",CBS,CBS Television Studios / Fulwell 73,False
87,2019, Directing For A Variety Special,Homecoming: A Film By Beyoncé,"Beyoncé Knowles-Carter, Directed by Ed Burke, Directed by",Netflix,Parkwood Entertainment,False
88,2019, Directing For A Variety Special,The Oscars,"Glenn Weiss, Directed by",ABC,The Academy of Motion Picture Arts and Sciences,False
89,2019, Directing For A Documentary/Nonfiction Program,FYRE: The Greatest Party That Never Happened,"Chris Smith, Directed by",Netflix,"Jerry Media, Library Films, Matte Projects and Vice Studios",False
90,2019, Directing For A Documentary/Nonfiction Program,Leaving Neverland,"Dan Reed, Directed by",HBO,HBO Documentary Films in association with Channel 4 and Amos Pictures,False
91,2019, Directing For A Documentary/Nonfiction Program,RBG,"Julie Cohen, Directed by Betsy West, Directed by",CNN,"CNN Films, Storyville Films",False
128,2019, Interactive Program,Conan,"Conan O'Brien, Executive Producer/Host Jeff Ross, Executive Producer Steve Beslow, Producer Aaron Bleyaert, Producer Ruthie Wyatt, Producer",TBS,"Team Coco/Conaco, LLC",False
129,2019, Interactive Program,Last Week Tonight With John Oliver,"Partially Important Productions, ",HBO,HBO Entertainment in association with Sixteen String Jack Productions and Avalon Television,False
130,2019, Interactive Program,The Late Late Show With James Corden,"James Corden, Host Ben Winston, Executive Producer Rob Crabbe, Executive Producer Adam Abramson, Director of Digital Tyler White, Social Media Producer",CBS,CBS Television Studios / Fulwell 73,False
131,2019, Interactive Program,The Late Show With Stephen Colbert,"Stephen Colbert, Executive Producer Chris Licht, Executive Producer Opus Moreschi, Head Writer Ariel Dumas, Digital Content Producer Matt Simpson, Director, Content & Product Strategy",CBS,CBS Television Studios,False
132,2019, Original Interactive Program,You Vs. Wild,"Rob Buchta, Executive Producer Bear Grylls, Executive Producer Chris Grant, Executive Producer Delbert Shoopman, Executive Producer Ben Simms, Director",Netflix,Electus and Bear Grylls Ventures,False
177,2019, Lead Actor In A Comedy Series,black-ish,"Anthony Anderson, as Andre ""Dre"" Johnson",ABC,ABC Studios,False
178,2019, Lead Actor In A Comedy Series,Black Monday,"Don Cheadle, as Maurice ""Mo"" Monroe",Showtime,"Sony Pictures Television, Point Grey Pictures, Shark Vs. Bear, After Alaska",False
179,2019, Lead Actor In A Comedy Series,The Good Place,"Ted Danson, as Michael",NBC,Universal Television in association with Fremulon and 3 Arts Entertainment,False
180,2019, Lead Actor In A Comedy Series,The Kominsky Method,"Michael Douglas, as Sandy Kominsky",Netflix,Warner Bros. Television,False
181,2019, Lead Actor In A Comedy Series,Schitt's Creek,"Eugene Levy, as Johnny Rose",Pop TV,"Not A Real Company Productions, Inc.",False
182,2019, Lead Actor In A Drama Series,Ozark,"Jason Bateman, as Martin 'Marty' Byrde",Netflix,Media Rights Capital,False
183,2019, Lead Actor In A Drama Series,This Is Us,"Sterling K. Brown, as Randall Pearson",NBC,20th Century Fox Television,False
184,2019, Lead Actor In A Drama Series,Game Of Thrones,"Kit Harington, as Jon Snow",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
185,2019, Lead Actor In A Drama Series,Better Call Saul,"Bob Odenkirk, as Jimmy McGill",AMC,"High Bridge, Crystal Diner, Gran Via Productions and Sony Pictures Television",False
186,2019, Lead Actor In A Drama Series,This Is Us,"Milo Ventimiglia, as Jack Pearson",NBC,20th Century Fox Television,False
187,2019, Supporting Actor In A Limited Series Or Movie,When They See Us,"Asante Blackk, as Kevin Richardson",Netflix,"Participant Media, Tribeca Productions, Harpo Films, Array Filmworks",False
188,2019, Supporting Actor In A Limited Series Or Movie,Escape At Dannemora,"Paul Dano, as David Sweat",Showtime,"Red Hour, Busyhands, The White Mountain Company, Michael De Luca Productions, BZ Entertainment",False
189,2019, Supporting Actor In A Limited Series Or Movie,When They See Us,"John Leguizamo, as Raymond Santana, Sr.",Netflix,"Participant Media, Tribeca Productions, Harpo Films, Array Filmworks",False
190,2019, Supporting Actor In A Limited Series Or Movie,When They See Us,"Michael K. Williams, as Bobby McCray",Netflix,"Participant Media, Tribeca Productions, Harpo Films, Array Filmworks",False
191,2019, Lead Actress In A Comedy Series,Dead To Me,"Christina Applegate, as Jen",Netflix,CBS Television Studios,False
192,2019, Lead Actress In A Comedy Series,The Marvelous Mrs. Maisel,"Rachel Brosnahan, as Miriam 'Midge' Maisel",Prime Video,Amazon Studios,False
193,2019, Lead Actress In A Comedy Series,Veep,"Julia Louis-Dreyfus, as Selina Meyer",HBO,HBO Entertainment,False
194,2019, Lead Actress In A Comedy Series,Russian Doll,"Natasha Lyonne, as Nadia",Netflix,"Universal Television in association with Jax Media, Paper Kite Productions, 3 Arts Entertainment, Shoot to Midnight, Avenue A",False
195,2019, Lead Actress In A Comedy Series,Schitt's Creek,"Catherine O'Hara, as Moira Rose",Pop TV,"Not A Real Company Productions, Inc.",False
196,2019, Lead Actress In A Drama Series,Game Of Thrones,"Emilia Clarke, as Daenerys Targaryen",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
197,2019, Lead Actress In A Drama Series,How To Get Away With Murder,"Viola Davis, as Annalise Keating",ABC,ABC Studios,False
198,2019, Lead Actress In A Drama Series,Ozark,"Laura Linney, as Wendy Byrde",Netflix,Media Rights Capital,False
199,2019, Lead Actress In A Drama Series,This Is Us,"Mandy Moore, as Rebecca Pearson",NBC,20th Century Fox Television,False
200,2019, Lead Actress In A Drama Series,Killing Eve,"Sandra Oh, as Eve Polastri",BBC America,Sid Gentle Films Ltd.,False
201,2019, Lead Actress In A Drama Series,House Of Cards,"Robin Wright, as Claire Underwood",Netflix,"Donen/Fincher/Roth and Trigger Street Productions, Inc. in association with Media Rights Capital",False
202,2019, Lead Actress In A Limited Series Or Movie,Sharp Objects,"Amy Adams, as Camille Preaker",HBO,"HBO Entertainment in association with eOne and Tiny Pyro Productions, Blumhouse Television, Fourth Born, Crazyrose Productions",False
203,2019, Lead Actress In A Limited Series Or Movie,Escape At Dannemora,"Patricia Arquette, as Joyce ""Tilly"" Mitchell",Showtime,"Red Hour, Busyhands, The White Mountain Company, Michael De Luca Productions, BZ Entertainment",False
204,2019, Lead Actress In A Limited Series Or Movie,When They See Us,"Aunjanue Ellis, as Sharon Salaam",Netflix,"Participant Media, Tribeca Productions, Harpo Films, Array Filmworks",False
205,2019, Lead Actress In A Limited Series Or Movie,The Act,"Joey King, as Gypsy Rose Blanchard",Hulu,"UCP, Eat the Cat, Writ Large",False
206,2019, Lead Actress In A Limited Series Or Movie,When They See Us,"Niecy Nash, as Delores Wise",Netflix,"Participant Media, Tribeca Productions, Harpo Films, Array Filmworks",False
207,2019, Supporting Actress In A Comedy Series,Veep,"Anna Chlumsky, as Amy Brookheimer",HBO,HBO Entertainment,False
208,2019, Supporting Actress In A Comedy Series,Fleabag,"Sian Clifford, as Claire",Prime Video,All3Media International Limited and Amazon Studios,False
209,2019, Supporting Actress In A Comedy Series,Fleabag,"Olivia Colman, as Godmother",Prime Video,All3Media International Limited and Amazon Studios,False
210,2019, Supporting Actress In A Comedy Series,GLOW,"Betty Gilpin, as Debbie Eagan",Netflix,A Netflix Original Series in association with Tilted Productions,False
211,2019, Supporting Actress In A Comedy Series,Barry,"Sarah Goldberg, as Sally Reed",HBO,HBO Entertainment in association with Alec Berg and Hanarply,False
212,2019, Supporting Actress In A Comedy Series,The Marvelous Mrs. Maisel,"Marin Hinkle, as Rose Weissman",Prime Video,Amazon Studios,False
213,2019, Supporting Actress In A Comedy Series,Saturday Night Live,"Kate McKinnon, as Various characters",NBC,SNL Studios in association with Universal Television and Broadway Video,False
214,2019, Supporting Actor In A Drama Series,Game Of Thrones,"Alfie Allen, as Theon Greyjoy",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
215,2019, Supporting Actor In A Drama Series,Better Call Saul,"Jonathan Banks, as Mike Ehrmantraut",AMC,"High Bridge, Crystal Diner, Gran Via Productions and Sony Pictures Television",False
216,2019, Supporting Actor In A Drama Series,Game Of Thrones,"Nikolaj Coster-Waldau, as Jamie Lannister",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
217,2019, Supporting Actor In A Drama Series,Better Call Saul,"Giancarlo Esposito, as Gus Fring",AMC,"High Bridge, Crystal Diner, Gran Via Productions and Sony Pictures Television",False
218,2019, Supporting Actor In A Drama Series,House Of Cards,"Michael Kelly, as Doug Stamper",Netflix,"Donen/Fincher/Roth and Trigger Street Productions, Inc. in association with Media Rights Capital",False
219,2019, Supporting Actor In A Drama Series,This Is Us,"Chris Sullivan, as Toby Damon",NBC,20th Century Fox Television,False
220,2019, Supporting Actress In A Drama Series,Game Of Thrones,"Gwendoline Christie, as Brienne of Tarth",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
221,2019, Supporting Actress In A Drama Series,Game Of Thrones,"Lena Headey, as Cersei Lannister",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
222,2019, Supporting Actress In A Drama Series,Killing Eve,"Fiona Shaw, as Carolyn Martens",BBC America,Sid Gentle Films Ltd.,False
223,2019, Supporting Actress In A Drama Series,Game Of Thrones,"Sophie Turner, as Sansa Stark",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
224,2019, Supporting Actress In A Drama Series,Game Of Thrones,"Maisie Williams, as Arya Stark",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
225,2019, Supporting Actress In A Limited Series Or Movie,When They See Us,"Marsha Stephanie Blake, as Linda McCray",Netflix,"Participant Media, Tribeca Productions, Harpo Films, Array Filmworks",False
226,2019, Supporting Actress In A Limited Series Or Movie,Sharp Objects,"Patricia Clarkson, as Adora Crellin",HBO,"HBO Entertainment in association with eOne and Tiny Pyro Productions, Blumhouse Television, Fourth Born, Crazyrose Productions",False
227,2019, Supporting Actress In A Limited Series Or Movie,When They See Us,"Vera Farmiga, as Elizabeth Lederer",Netflix,"Participant Media, Tribeca Productions, Harpo Films, Array Filmworks",False
228,2019, Supporting Actress In A Limited Series Or Movie,Fosse/Verdon,"Margaret Qualley, as Ann Reinking",FX Networks,Fox 21 Television Studios and FX Productions,False
229,2019, Guest Actor In A Comedy Series,Saturday Night Live,"Matt Damon, as Host",NBC,SNL Studios in association with Universal Television and Broadway Video,False
230,2019, Guest Actor In A Comedy Series,Saturday Night Live,"Robert De Niro, as Robert Mueller",NBC,SNL Studios in association with Universal Television and Broadway Video,False
231,2019, Guest Actor In A Comedy Series,Veep,"Peter MacNicol, as Jeff Kane",HBO,HBO Entertainment,False
232,2019, Guest Actor In A Comedy Series,Saturday Night Live,"John Mulaney, as Host",NBC,SNL Studios in association with Universal Television and Broadway Video,False
233,2019, Guest Actor In A Comedy Series,Saturday Night Live,"Adam Sandler, as Host",NBC,SNL Studios in association with Universal Television and Broadway Video,False
234,2019, Guest Actor In A Comedy Series,The Marvelous Mrs. Maisel,"Rufus Sewell, as Declan Howell",Prime Video,Amazon Studios,False
235,2019, Guest Actor In A Drama Series,This Is Us,"Michael Angarano, as Nick Pearson",NBC,20th Century Fox Television,False
236,2019, Guest Actor In A Drama Series,This Is Us,"Ron Cephas Jones, as William",NBC,20th Century Fox Television,False
237,2019, Guest Actor In A Drama Series,Better Call Saul,"Michael McKean, as Chuck McGill",AMC,"High Bridge, Crystal Diner, Gran Via Productions and Sony Pictures Television",False
238,2019, Guest Actor In A Drama Series,The Twilight Zone,"Kumail Nanjiani, as Samir Wassan",CBS (CBS All Access),CBS Television Studios/Monkeypaw Productions/Genre Films,False
239,2019, Guest Actor In A Drama Series,How To Get Away With Murder,"Glynn Turman, as Nate Lahey, Sr.",ABC,ABC Studios,False
240,2019, Guest Actress In A Comedy Series,Saturday Night Live,"Sandra Oh, as Host",NBC,SNL Studios in association with Universal Television and Broadway Video,False
241,2019, Guest Actress In A Comedy Series,The Good Place,"Maya Rudolph, as The Judge",NBC,Universal Television in association with Fremulon and 3 Arts Entertainment,False
242,2019, Guest Actress In A Comedy Series,Fleabag,"Fiona Shaw, as Counsellor",Prime Video,All3Media International Limited and Amazon Studios,False
243,2019, Guest Actress In A Comedy Series,Fleabag,"Kristin Scott Thomas, as Belinda",Prime Video,All3Media International Limited and Amazon Studios,False
244,2019, Guest Actress In A Comedy Series,Saturday Night Live,"Emma Thompson, as Host",NBC,SNL Studios in association with Universal Television and Broadway Video,False
245,2019, Guest Actress In A Drama Series,Orange Is The New Black,"Laverne Cox, as Sophia Burset",Netflix,Lionsgate Television,False
246,2019, Guest Actress In A Drama Series,American Horror Story: Apocalypse,"Jessica Lange, as Constance Langdon",FX Networks,Twentieth Century Fox Television,False
247,2019, Guest Actress In A Drama Series,This Is Us,"Phylicia Rashad, as Carol Clarke",NBC,20th Century Fox Television,False
248,2019, Guest Actress In A Drama Series,How To Get Away With Murder,"Cicely Tyson, as Ophelia Harkness",ABC,ABC Studios,False
249,2019, Guest Actress In A Drama Series,Game Of Thrones,"Carice van Houten, as Melisandre",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
250,2019, Narrator,Wonders Of Mexico,"Anthony Mendez, as Narrator",PBS,A BBC production in association with PBS,False
251,2019, Narrator,The Many Lives Of Nick Buoniconti,"Liev Schreiber, as Narrator",HBO,HBO Sports,False
252,2019, Narrator,Queens Of Mystery,"Juliet Stevenson, as Narrator",Acorn TV,A Sly Fox Production in association with Acorn Media Enterprises and Ferncroft Media,False
266,2019, Children's Program,Carmen Sandiego,"Caroline Fraser, Executive Producer CJ Kettler, Executive Producer Kirsten Newlands, Executive Producer Anne Loi, Executive Producer Duane Capizzi, Co-Executive Producer Brian Hulme, Producer",Netflix,Houghton Mifflin Harcourt Publishing and DHX Media,False
267,2019, Children's Program,A Series Of Unfortunate Events,"Daniel Handler, Executive Producer Neil Patrick Harris, Executive Producer Rose Lam, Executive Producer Barry Sonnenfeld, Executive Producer Joe Tracz, Producer Rand Geiger, Producer",Netflix,A Netflix Original Production,False
268,2019, Children's Program,Song Of Parkland,"Nancy Abraham, Executive Producer Lisa Heller, Executive Producer Sara Rodriguez, Supervising Producer Amy Schatz, Produced by",HBO,HBO Original Programming,False
269,2019, Documentary Or Nonfiction Special,Jane Fonda In Five Acts,"Susan Lacy, Produced by Jessica Levin, Produced by Emma Pildes, Produced by",HBO,HBO Documentary Films in association with Pentimento,False
270,2019, Documentary Or Nonfiction Special,"Love, Gilda","Lisa D'Apolito, Produced by James Tumminia, Produced by Bronwyn Berry, Produced by Meryl Goldsmith, Produced by Alan Zweibel, Executive Producer Amy Entelis, Executive Producer Courtney Sexton, Executive Producer",CNN,"CNN Films, 3 Faces Films, Motto Pictures",False
271,2019, Documentary Or Nonfiction Special,Minding The Gap,"Diane Quon, Produced by Bing Liu, Produced by Gordon Quinn, Executive Producer Steve James, Executive Producer Sally Jo Fifer, Executive Producer Justine Nagan, Executive Producer Chris White, Executive Producer",Hulu,"Kartemquin, American Documentary | POV and ITVS",False
272,2019, Documentary Or Nonfiction Series,American Masters,"Michael Kantor, Producer/Executive Producer Sally Rosenthal, Producer Julie Sacks, Series Producer Junko Tsunashima, Supervising Producer",PBS,"Thirteen Productions, LLC",False
273,2019, Documentary Or Nonfiction Series,Chef's Table,"Matthew Weaver, Executive Producer Brian McGinn, Executive Producer Andrew Fried, Executive Producer David Gelb, Executive Producer Dane Lillegard, Co-Executive Producer",Netflix,Boardwalk Pictures,False
274,2019, Documentary Or Nonfiction Series,Hostile Planet,"Guillermo Navarro, Executive Producer Martha Holmes, Executive Producer Grant Mansfield, Executive Producer Bear Grylls, Executive Producer Kevin Tao Mohs, Executive Producer Tim Pastore, Executive Producer Tom Hugh-Jones, Series Producer",National Geographic,Plimsoll Productions,False
279,2019,Exceptional Merit In Documentary Filmmaking,Divide And Conquer: The Story Of Roger Ailes,"Alexis Bloom, Produced by Will Cohen, Produced by Molly Thompson, Executive Producer Alex Gibney, Executive Producer",A&E,A Jigsaw Production in association with Baird Films,False
280,2019,Exceptional Merit In Documentary Filmmaking,"Hale County This Morning, This Evening","RaMell Ross, Produced by Joslyn Barnes, Produced by Su Kim, Produced by Lois Vossen, Executive Producer",PBS,"Idiom Film, LLC and Louverture Films in association with Field of Vision",False
289,2019, Competition Program,The Amazing Race,"Jerry Bruckheimer, Executive Producer Bertram van Munster, Executive Producer Jonathan Littman, Executive Producer Elise Doganieri, Executive Producer Mark Vertullo, Executive Producer Phil Keoghan, Executive Producer Patrick Cariaga, Co-Executive Producer Matt Schmidt, Co-Executive Producer Darren Bunkley, Co-Executive Producer Mike DiMaggio, Supervising Producer Neil Jahss, Supervising Producer Michael Norton, Supervising Producer Ady Ryf, Supervising Producer Steve Bae, Senior Producer Sydney Leier, Senior Producer Sarah Stallard, Senior Producer",CBS,"WorldRace Productions, Inc.",False
290,2019, Competition Program,American Ninja Warrior,"Arthur Smith, Executive Producer Kent Weed, Executive Producer Anthony Storm, Executive Producer Brian Richardson, Executive Producer Kristen Stabile, Co-Executive Producer David Markus, Co-Executive Producer D. Max Poris, Supervising Producer David Brackenhoff, Supervising Producer Greg Cruser, Supervising Producer Kate Griendling, Supervising Producer Jonathan Provost, Supervising Producer J.D. Pruess, Supervising Producer Royce Toni, Supervising Producer Briana Vowels, Supervising Producer",NBC,A. Smith & Co. Productions,False
291,2019, Competition Program,Nailed It!,"Dan Cutforth, Executive Producer Jane Lipsitz, Executive Producer Daniel Calin, Executive Producer Gaylen Gawlowski, Executive Producer Casey Kriley, Executive Producer Patrick J. Doody, Executive Producer Jo Sharon, Co-Executive Producer Laura Slobin, Supervising Producer",Netflix,Magical Elves,False
292,2019, Competition Program,Top Chef,"Dan Cutforth, Executive Producer Jane Lipsitz, Executive Producer Doneen Arquines, Executive Producer Casey Kriley, Executive Producer Tara Siener, Executive Producer Tom Colicchio, Executive Producer Padma Lakshmi, Executive Producer Justin Rae Barnes, Co-Executive Producer Blake Davis, Co-Executive Producer Patrick Schmedeman, Co-Executive Producer Wade Sheeler, Co-Executive Producer Elida Carbajal Araiza, Supervising Producer Brian Fowler, Supervising Producer Caitlin Rademaekers, Supervising Producer Emily Van Bergen, Supervising Producer Steve Lichtenstein, Senior Producer",Bravo,Magical Elves,False
293,2019, Competition Program,The Voice,"John De Mol, Executive Producer Mark Burnett, Executive Producer Audrey Morrissey, Executive Producer Stijn Bakkers, Executive Producer Amanda Zucker, Executive Producer Kyra Thompson, Executive Producer Teddy Valenti, Co-Executive Producer Kyley Tucker, Co-Executive Producer Anthea Bhargava, Supervising Producer Melysa Lovell Garratt, Supervising Producer Clyde Lieberman, Supervising Producer Brittany Martin Porter, Supervising Producer Barton Kimball, Supervising Producer Dan Paschen, Senior Producer Amanda Silva Borden, Senior Producer Tod Schellinger, Producer Carson Daly, Producer Jared Wyso, Producer Hayley Opalek McSherry, Producer",NBC,"MGM Television, Talpa Media USA, Inc. and Warner Horizon Unscripted & Alternative Television",False
312,2019, Special Visual Effects,The Man In The High Castle,"Lawson Deming, Senior VFX Supervisor Cory Jamieson, VFX Executive Producer Casi Blume, CG Supervisor Nick Chamberlain, Comp Supervisor Bill Parker, Comp Supervisor Saber Jlassi, Dynamics Lead Chris Parks, Animation Lead Brian Hobert, Comp Lead Danielle Malambri, VFX Coordinator",Prime Video,Amazon Studios,False
313,2019, Special Visual Effects,Star Trek: Discovery,"Jason Michael Zimmerman, VFX Supervisor Ante Dekovic, VFX Supervisor Ivan Kondrup Jensen, VFX Supervisor Mahmoud Rahnama, Associate VFX Supervisor Alexander Wood, VFX Plate Supervisor Aleksandra Kochoska, VFX Producer Charles Collyer, Lead VFX Artist Fausto Tejeda, CG Supervisor Darcy Callaghan, Special Effects Coordinator",CBS (CBS All Access),CBS Television Studios / Secret Hideout / Roddenberry Entertainment,False
314,2019, Special Visual Effects In A Supporting Role,Deadwood: The Movie,"Eric Hayden, VFX Supervisor David Altenau, VFX Supervisor Alex Torres, VFX Producer Joseph Vincent Pike, Compositor Ian Northrop, Compositor Christopher Flynn, Compositor David Blumenfeld, Animator Matthew Rappaport, Animator David Rand, Animator",HBO,HBO Films in association with Red Board and The Mighty Mint,False
315,2019, Special Visual Effects In A Supporting Role,Escape At Dannemora,"Steven Kirshoff, Special Effects Supervisor Joe Heffernan, Special Effects Coordinator John Bair, Visual Effects Supervisor Djuna Wahlrab, Visual Effects Supervisor Matthew Griffin, Visual Effects Producer Shannen Walsh, Visual Effects Coordinator Joseph Brigati, Lead Compositor Vance Miller, CG Supervisor Min Hwa Jung, Senior Compositor",Showtime,"Red Hour, Busyhands, The White Mountain Company, Michael De Luca Productions, BZ Entertainment",False
329,2019, Writing For A Comedy Series,Barry,"Alec Berg, Written by Bill Hader, Written by",HBO,HBO Entertainment in association with Alec Berg and Hanarply,False
330,2019, Writing For A Comedy Series,The Good Place,"Josh Siegal, Written by Dylan Morgan, Written by",NBC,Universal Television in association with Fremulon and 3 Arts Entertainment,False
