year,category,nominee,staff,win
2018, Lead Actor In A Comedy Series,The Good Place,Ted Danson,False
2018, Lead Actor In A Comedy Series,Curb Your Enthusiasm,Larry David,False
2018, Lead Actor In A Comedy Series,Atlanta,Donald Glover,False
2018, Lead Actor In A Comedy Series,Barry,Bill Hader,True
2018, Lead Actor In A Comedy Series,Shameless,William H. Macy,False
2018, Lead Actress In A Comedy Series,Better Things,Pamela Adlon,False
2018, Lead Actress In A Comedy Series,The Marvelous Mrs. Maisel,Rachel Brosnahan,True
2018, Lead Actress In A Comedy Series,Mom,Allison Janney,False
2018, Lead Actress In A Comedy Series,Insecure,Issa Rae,False
2018, Lead Actress In A Comedy Series,black-ish,Tracee Ellis Ross,False
2018, Lead Actress In A Comedy Series,Grace And Frankie,Lily Tomlin,False
2018, Supporting Actress In A Comedy Series,Atlanta,Zazie Beetz,False
2018, Supporting Actress In A Comedy Series,The Marvelous Mrs. Maisel,Alex Borstein,True
2018, Supporting Actress In A Comedy Series,Saturday Night Live,Aidy Bryant,False
2018, Supporting Actress In A Comedy Series,GLOW,Betty Gilpin,False
2018, Supporting Actress In A Comedy Series,Saturday Night Live,Leslie Jones,False
2018, Supporting Actress In A Comedy Series,Saturday Night Live,Kate McKinnon,False
2018, Supporting Actress In A Comedy Series,Roseanne,Laurie Metcalf,False
2018, Supporting Actress In A Comedy Series,Will & Grace,Megan Mullally,False
2018, Guest Actor In A Comedy Series,Brooklyn Nine-Nine,Sterling K. Brown,False
2018, Guest Actor In A Comedy Series,Curb Your Enthusiasm,Bryan Cranston,False
2018, Guest Actor In A Comedy Series,Saturday Night Live,Donald Glover,False
2018, Guest Actor In A Comedy Series,Saturday Night Live,Bill Hader,False
2018, Guest Actor In A Comedy Series,Curb Your Enthusiasm,Lin-Manuel Miranda,False
2018, Guest Actor In A Comedy Series,Atlanta,Katt Williams,True
2018, Guest Actress In A Comedy Series,Saturday Night Live,Tina Fey,False
2018, Guest Actress In A Comedy Series,Saturday Night Live,Tiffany Haddish,True
2018, Guest Actress In A Comedy Series,The Marvelous Mrs. Maisel,Jane Lynch,False
2018, Guest Actress In A Comedy Series,The Good Place,Maya Rudolph,False
2018, Guest Actress In A Comedy Series,Will & Grace,Molly Shannon,False
2018, Guest Actress In A Comedy Series,black-ish,Wanda Sykes,False
2018, Narrator,Blue Planet II,Sir David Attenborough,True
2018, Narrator,Savage Kingdom,Charles Dance,False
2018, Narrator,March Of The Penguins 2: The Next Step,Morgan Freeman,False
2018, Narrator,If You're Not In The Obit,Carl Reiner,False
2018, Narrator,24/7,Liev Schreiber,False
2018, Comedy Series,Atlanta,Donald Glover,False
2018, Comedy Series,Barry,Alec Berg,False
2018, Comedy Series,black-ish,Kenya Barris,False
2018, Comedy Series,Curb Your Enthusiasm,Larry David,False
2018, Comedy Series,GLOW,Jenji Kohan,False
2018, Comedy Series,The Marvelous Mrs. Maisel,Amy Sherman-Palladino,True
2018, Comedy Series,Silicon Valley,Mike Judge,False
2018, Comedy Series,Unbreakable Kimmy Schmidt,Tina Fey,False
2018, Writing For A Comedy Series,Atlanta,Donald Glover,False
2018, Writing For A Comedy Series,Atlanta,Stefani Robinson,False
2018, Writing For A Comedy Series,Barry,Alec Berg,False
2018, Writing For A Comedy Series,Barry,Liz Sarnoff,False
2018, Writing For A Comedy Series,The Marvelous Mrs. Maisel,Amy Sherman-Palladino,True
2018, Writing For A Comedy Series,Silicon Valley,Alec Berg,False
2018, Writing For A Variety Series,Full Frontal With Samantha Bee,Melinda Taub,False
2018, Writing For A Variety Series,Last Week Tonight With John Oliver,John Oliver,True
2018, Writing For A Variety Series,Late Night With Seth Meyers,Jermain Affonso,False
2018, Writing For A Variety Series,The Late Show With Stephen Colbert,Jay Katsir,False
2018, Writing For A Variety Series,Saturday Night Live,Michael Che,False
2018, Writing For A Nonfiction Program,Anthony Bourdain: Parts Unknown,Anthony Bourdain,True
2018, Writing For A Nonfiction Program,The Defiant Ones,Allen Hughes,False
2018, Writing For A Nonfiction Program,Icarus,Bryan Fogel,False
2018, Writing For A Nonfiction Program,Jane,Brett Morgen,False
2018, Writing For A Nonfiction Program,Mister Rogers: It's You I Like,JoAnn Young,False
2018, Writing For A Nonfiction Program,The Vietnam War,Geoffrey C. Ward,False
2018, Supporting Actor In A Comedy Series,Baskets,Louie Anderson,False
2018, Supporting Actor In A Comedy Series,Saturday Night Live,Alec Baldwin,False
2018, Supporting Actor In A Comedy Series,Unbreakable Kimmy Schmidt,Tituss Burgess,False
2018, Supporting Actor In A Comedy Series,Atlanta,Brian Tyree Henry,False
2018, Supporting Actor In A Comedy Series,The Marvelous Mrs. Maisel,Tony Shalhoub,False
2018, Supporting Actor In A Comedy Series,Saturday Night Live,Kenan Thompson,False
2018, Supporting Actor In A Comedy Series,Barry,Henry Winkler,True
2018, Directing For A Comedy Series,The Big Bang Theory,Mark Cendrowski,False
2017, Character Voice-Over Performance,American Dad!,Dee Bradley Baker,False
2017, Character Voice-Over Performance,The Simpsons,Nancy Cartwright,False
2017, Character Voice-Over Performance,F Is For Family,Mo Collins,False
2017, Character Voice-Over Performance,Bob's Burgers,Kevin Kline,False
2017, Character Voice-Over Performance,Family Guy,Seth MacFarlane,True
2017, Character Voice-Over Performance,BoJack Horseman,Kristen Schaal,False
2017, Directing for a Comedy Series,Atlanta,Donald Glover,True
2017, Directing for a Comedy Series,Silicon Valley,Jamie Babbit,False
2017, Directing for a Comedy Series,Silicon Valley,Mike Judge,False
2017, Directing for a Comedy Series,Veep,Morgan Sackett,False
2017, Directing for a Comedy Series,Veep,David Mandel,False
2017, Directing for a Comedy Series,Veep,Dale Stern,False
2017, Directing for a Variety Series,Drunk History,Derek Waters,False
2017, Directing for a Variety Series,Jimmy Kimmel Live,Andy Fisher,False
2017, Directing for a Variety Series,Last Week Tonight With John Oliver,Paul Pennolino,False
2017, Directing for a Variety Series,The Late Show With Stephen Colbert,Jim Hoskinson,False
2017, Directing for a Variety Series,Saturday Night Live,Don Roy King,True
2017, Directing for a Nonfiction Program,Bright Lights: Starring Carrie Fisher And Debbie Reynolds,Alexis Bloom,False
2017, Directing for a Nonfiction Program,O.J.: Made In America,Ezra Edelman,True
2017, Directing for a Nonfiction Program,Planet Earth II,Fredi Devas,False
2017, Directing for a Nonfiction Program,Planet Earth II,Elizabeth White,False
2017, Directing for a Nonfiction Program,13th,Ava DuVernay,False
2017, Lead Actor in a Comedy Series,black-ish,Anthony Anderson,False
2017, Lead Actor in a Comedy Series,Master Of None,Aziz Ansari,False
2017, Lead Actor in a Comedy Series,Baskets,Zach Galifianakis,False
2017, Lead Actor in a Comedy Series,Atlanta,Donald Glover,True
2017, Lead Actor in a Comedy Series,Shameless,William H. Macy,False
2017, Lead Actor in a Comedy Series,Transparent,Jeffrey Tambor,False
2017, Lead Actress in a Comedy Series,Better Things,Pamela Adlon,False
2017, Lead Actress in a Comedy Series,Grace And Frankie,Jane Fonda,False
2017, Lead Actress in a Comedy Series,Mom,Allison Janney,False
2017, Lead Actress in a Comedy Series,Unbreakable Kimmy Schmidt,Ellie Kemper,False
2017, Lead Actress in a Comedy Series,Veep,Julia Louis-Dreyfus,True
2017, Lead Actress in a Comedy Series,black-ish,Tracee Ellis Ross,False
2017, Lead Actress in a Comedy Series,Grace And Frankie,Lily Tomlin,False
2017, Supporting Actress In A Comedy Series,Saturday Night Live,Vanessa Bayer,False
2017, Supporting Actress In A Comedy Series,Veep,Anna Chlumsky,False
2017, Supporting Actress In A Comedy Series,Transparent,Kathryn Hahn,False
2017, Supporting Actress In A Comedy Series,Saturday Night Live,Leslie Jones,False
2017, Supporting Actress In A Comedy Series,Transparent,Judith Light,False
2017, Supporting Actress In A Comedy Series,Saturday Night Live,Kate McKinnon,True
2017, Guest Actor in a Comedy Series,Girls,Riz Ahmed,False
2017, Guest Actor in a Comedy Series,Saturday Night Live,Dave Chappelle,True
2017, Guest Actor in a Comedy Series,Saturday Night Live,Tom Hanks,False
2017, Guest Actor in a Comedy Series,Veep,Hugh Laurie,False
2017, Guest Actor in a Comedy Series,Saturday Night Live,Lin-Manuel Miranda,False
2017, Guest Actor in a Comedy Series,Girls,Matthew Rhys,False
2017, Guest Actress in a Comedy Series,Girls,Becky Ann Baker,False
2017, Guest Actress in a Comedy Series,Master Of None,Angela Bassett,False
2017, Guest Actress in a Comedy Series,Catastrophe,Carrie Fisher,False
2017, Guest Actress in a Comedy Series,Saturday Night Live,Melissa McCarthy,True
2017, Guest Actress in a Comedy Series,black-ish,Wanda Sykes,False
2017, Guest Actress in a Comedy Series,Saturday Night Live,Kristen Wiig,False
2017, Narrator,Year Million,Laurence Fishburne,False
2017, Narrator,Wild Scotland,Ewan McGregor,False
2017, Narrator,Wild New Zealand,Sam Neill,False
2017, Narrator,Muhammad Ali: Only One,Liev Schreiber,False
2017, Narrator,UConn: The March To Madness,Liev Schreiber,False
2017, Narrator,Five Came Back,Meryl Streep,True
2017, Comedy Series,Atlanta,Donald Glover,False
2017, Comedy Series,black-ish,Jonathan Groff,False
2017, Comedy Series,Master Of None,Aziz Ansari,False
2017, Comedy Series,Modern Family,Christopher Lloyd,False
2017, Comedy Series,Silicon Valley,Mike Judge,False
2017, Comedy Series,Unbreakable Kimmy Schmidt,Robert Carlock,False
2017, Comedy Series,Veep,David Mandel,True
2017, Writing for a Comedy Series,Atlanta,Donald Glover,False
2017, Writing for a Comedy Series,Atlanta,Stephen Glover,False
2017, Writing for a Comedy Series,Master Of None,Aziz Ansari,True
2017, Writing for a Comedy Series,Silicon Valley,Alec Berg,False
2017, Writing for a Comedy Series,Veep,Billy Kimball,False
2017, Writing for a Comedy Series,Veep,David Mandel,False
2017, Writing for a Variety Series,Full Frontal With Samantha Bee,Jo Miller,False
2017, Writing for a Variety Series,Last Week Tonight With John Oliver,Kevin Avery,True
2017, Writing for a Variety Series,Late Night With Seth Meyers,Jermaine Affonso,False
2017, Writing for a Variety Series,The Late Show With Stephen Colbert,Jay Katsir,False
2017, Writing for a Variety Series,Saturday Night Live,Chris Kelly,False
2017, Writing for a Nonfiction Program,Amanda Knox,Matthew Hamachek,False
2017, Writing for a Nonfiction Program,Anthony Bourdain Parts Unknown,Anthony Bourdain,False
2017, Writing for a Nonfiction Program,The Beatles: Eight Days A Week - The Touring Years,Mark Monroe,False
2017, Writing for a Nonfiction Program,Bill Nye Saves The World,Prashanth Venkataramanujam,False
2017, Writing for a Nonfiction Program,13th,Ava DuVernay,True
2017, Supporting Actor in a Comedy Series,Baskets,Louie Anderson,False
2017, Supporting Actor in a Comedy Series,Saturday Night Live,Alec Baldwin,True
2017, Supporting Actor in a Comedy Series,Unbreakable Kimmy Schmidt,Tituss Burgess,False
2017, Supporting Actor in a Comedy Series,Modern Family,Ty Burrell,False
2017, Supporting Actor in a Comedy Series,Veep,Tony Hale,False
2017, Supporting Actor in a Comedy Series,Veep,Matt Walsh,False
2016, Character Voice-Over Performance,Family Guy,Seth MacFarlane,True
2016, Character Voice-Over Performance,South Park,Matt Stone,False
2016, Character Voice-Over Performance,South Park,Trey Parker,False
2016, Character Voice-Over Performance,SuperMansion,Keegan-Michael Key,False
2016, Character Voice-Over Performance,SuperMansion,Chris Pine,False
2016, Comedy Series,black-ish,Kenya Barris,False
2016, Comedy Series,Master Of None,Aziz Ansari,False
2016, Comedy Series,Modern Family,Steven Levitan,False
2016, Comedy Series,Silicon Valley,Mike Judge,False
2016, Comedy Series,Transparent,Jill Soloway,False
2016, Comedy Series,Unbreakable Kimmy Schmidt,Robert Carlock,False
2016, Comedy Series,Veep,David Mandel,True
2016, Directing For A Comedy Series,Master Of None,Aziz Ansari,False
2016, Directing For A Comedy Series,Silicon Valley,Mike Judge,False
2016, Directing For A Comedy Series,Silicon Valley,Alec Berg,False
2016, Directing For A Comedy Series,Transparent,Jill Soloway,True
2016, Directing For A Comedy Series,Veep,Chris Addison,False
2016, Directing For A Comedy Series,Veep,David Mandel,False
2016, Directing For A Comedy Series,Veep,Dale Stern,False
2016, Directing For A Nonfiction Program,Cartel Land,Matthew Heineman,False
2016, Directing For A Nonfiction Program,Chef's Table,David Gelb,False
2016, Directing For A Nonfiction Program,He Named Me Malala,Davis Guggenheim,False
2016, Directing For A Nonfiction Program,Making A Murderer,Laura Ricciardi,True
2016, Directing For A Nonfiction Program,What Happened,Liz Garbus,False
2016, Directing For A Variety Series,Inside Amy Schumer,Ryan McFaul,True
2016, Directing For A Variety Series,Last Week Tonight With John Oliver,Paul Pennolino,False
2016, Directing For A Variety Series,Saturday Night Live,Don Roy King,False
2016, Directing For A Variety Series,The Late Late Show With James Corden,Tim Mancinelli,False
2016, Directing For A Variety Series,The Tonight Show Starring Jimmy Fallon,Dave Diomedi,False
2016, Guest Actor In A Comedy Series,Saturday Night Live,Tracy Morgan,False
2016, Guest Actor In A Comedy Series,Saturday Night Live,Larry David,False
2016, Guest Actor In A Comedy Series,The Big Bang Theory ,Bob Newhart,False
2016, Guest Actor In A Comedy Series,Transparent,Bradley Whitford,False
2016, Guest Actor In A Comedy Series,Veep,Martin Mull,False
2016, Guest Actor In A Comedy Series,Girls,Peter Scolari,True
2016, Guest Actress In A Comedy Series,Saturday Night Live,Tina Fey & Amy Poehler,True
2016, Guest Actress In A Comedy Series,Saturday Night Live,Melissa McCarthy,False
2016, Guest Actress In A Comedy Series,Saturday Night Live,Amy Schumer,False
2016, Guest Actress In A Comedy Series,The Big Bang Theory,Christine Baranski,False
2016, Guest Actress In A Comedy Series,The Big Bang Theory ,Laurie Metcalf,False
2016, Guest Actress In A Comedy Series,Transparent,Melora Hardin,False
2016, Lead Actor In A Comedy Series,black-ish,Anthony Anderson,False
2016, Lead Actor In A Comedy Series,Master Of None,Aziz Ansari,False
2016, Lead Actor In A Comedy Series,Shameless,William H. Macy,False
2016, Lead Actor In A Comedy Series,Silicon Valley,Thomas Middleditch,False
2016, Lead Actor In A Comedy Series,The Last Man On Earth ,Will Forte,False
2016, Lead Actor In A Comedy Series,Transparent,Jeffrey Tambor,True
2016, Lead Actress In A Comedy Series,black-ish,Tracee Ellis Ross,False
2016, Lead Actress In A Comedy Series,Getting On,Laurie Metcalf,False
2016, Lead Actress In A Comedy Series,Grace And Frankie,Lily Tomlin,False
2016, Lead Actress In A Comedy Series,Inside Amy Schumer,Amy Schumer,False
2016, Lead Actress In A Comedy Series,Unbreakable Kimmy Schmidt,Ellie Kemper,False
2016, Lead Actress In A Comedy Series,Veep,Julia Louis-Dreyfus,True
2016, Narrator,Breakthrough,Adrien Brody,False
2016, Narrator,Jackie Robinson,Keith David,True
2016, Narrator,Jane The Virgin,Anthony Mendez,False
2016, Narrator,Life Story,David Attenborough,False
2016, Narrator,Roots,Laurence Fishburne,False
2016, Supporting Actor In A Comedy Series,Baskets,Louie Anderson,True
2016, Supporting Actor In A Comedy Series,Brooklyn Nine-Nine,Andre Braugher,False
2016, Supporting Actor In A Comedy Series,Key & Peele,Keegan-Michael Key,False
2016, Supporting Actor In A Comedy Series,Modern Family ,Ty Burrell,False
2016, Supporting Actor In A Comedy Series,Unbreakable Kimmy Schmidt,Tituss Burgess,False
2016, Supporting Actor In A Comedy Series,Veep,Tony Hale,False
2016, Supporting Actor In A Comedy Series,Veep,Matt Walsh,False
2016, Supporting Actress In A Comedy Series,Getting On,Niecy Nash,False
2016, Supporting Actress In A Comedy Series,Mom,Allison Janney,False
2016, Supporting Actress In A Comedy Series,Saturday Night Live,Kate McKinnon,True
2016, Supporting Actress In A Comedy Series,Transparent,Judith Light,False
2016, Supporting Actress In A Comedy Series,Transparent,Gaby Hoffmann,False
2016, Supporting Actress In A Comedy Series,Veep,Anna Chlumsky,False
2016, Writing For A Comedy Series,Catastrophe,Rob Delaney,False
2016, Writing For A Comedy Series,Master Of None,Aziz Ansari,True
2016, Writing For A Comedy Series,Silicon Valley,Dan O'Keefe,False
2016, Writing For A Comedy Series,Silicon Valley,Alec Berg,False
2016, Writing For A Comedy Series,Veep,David Mandel,False
2016, Writing For A Comedy Series,Veep,Alex Gregory,False
2016, Writing For A Nonfiction Program,Anthony Bourdain Parts Unknown,Anthony Bourdain,False
2016, Writing For A Nonfiction Program,Everything Is Copy - Nora Ephron: Scripted & Unscripted,Jacob Bernstein,False
2016, Writing For A Nonfiction Program,Jackie Robinson,David McMahon,False
2016, Writing For A Nonfiction Program,Making A Murderer,Laura Ricciardi,True
2016, Writing For A Nonfiction Program,Walt Disney (American Experience),Mark Zwonitzer,False
2016, Writing For A Variety Series,Full Frontal With Samantha Bee,Jo Miller,False
2016, Writing For A Variety Series,Inside Amy Schumer,Michael Lawrence,False
2016, Writing For A Variety Series,Key & Peele,Jay Martel,False
2016, Writing For A Variety Series,Last Week Tonight With John Oliver,Kevin Avery,True
2016, Writing For A Variety Series,Portlandia,Fred Armisen,False
2016, Writing For A Variety Series,Saturday Night Live,Rob Klein,False
2015, Writing For Nonfiction Programming,Going Clear: Scientology And The Prison Of Belief,Alex Gibney,True
2015, Writing For Nonfiction Programming,Kurt Cobain: Montage Of Heck,Brett Morgen,False
2015, Writing For Nonfiction Programming,The Roosevelts: An Intimate History,Geoffrey C. Ward,False
2015, Writing For Nonfiction Programming,Anthony Bourdain Parts Unknown,Anthony Bourdain,False
2015, Writing For Nonfiction Programming,Last Days In Vietnam (American Experience),Mark Bailey,False
2015, Writing For A Variety Series,Last Week Tonight With John Oliver,Kevin Avery,False
2015, Writing For A Variety Series,The Daily Show With Jon Stewart,Elliott Kalan,True
2015, Writing For A Variety Series,Key & Peele,Jay Martel,False
2015, Writing For A Variety Series,Inside Amy Schumer,Jessi Klein,False
2015, Writing For A Variety Series,The Colbert Report,Opus Moreschi,False
2015, Writing For A Comedy Series,Louie,Louis C.K.,False
2015, Writing For A Comedy Series,The Last Man On Earth,Will Forte,False
2015, Writing For A Comedy Series,Silicon Valley,Alec Berg,False
2015, Writing For A Comedy Series,Episodes,David Crane,False
2015, Writing For A Comedy Series,Veep,Simon Blackwell,True
2015, Writing For A Comedy Series,Transparent,Jill Soloway,False
2015, Supporting Actress In A Comedy Series,Modern Family,Julie Bowen,False
2015, Supporting Actress In A Comedy Series,The Big Bang Theory,Mayim Bialik,False
2015, Supporting Actress In A Comedy Series,Getting On,Niecy Nash,False
2015, Supporting Actress In A Comedy Series,Mom,Allison Janney,True
2015, Supporting Actress In A Comedy Series,Unbreakable Kimmy Schmidt,Jane Krakowski,False
2015, Supporting Actress In A Comedy Series,Veep,Anna Chlumsky,False
2015, Supporting Actress In A Comedy Series,Transparent,Gaby Hoffmann,False
2015, Supporting Actress In A Comedy Series,Saturday Night Live,Kate McKinnon,False
2015, Supporting Actor In A Comedy Series,Girls,Adam Driver,False
2015, Supporting Actor In A Comedy Series,Brooklyn Nine-Nine,Andre Braugher,False
2015, Supporting Actor In A Comedy Series,Modern Family,Ty Burrell,False
2015, Supporting Actor In A Comedy Series,Key & Peele,Keegan-Michael Key,False
2015, Supporting Actor In A Comedy Series,Unbreakable Kimmy Schmidt,Tituss Burgess,False
2015, Supporting Actor In A Comedy Series,Veep,Tony Hale,True
2015, Narrator,Jane The Virgin,Anthony Mendez,False
2015, Narrator,Too Cute!,Henry Strozier,False
2015, Narrator,Hubble's Cosmic Journey,Neil deGrasse Tyson,False
2015, Narrator,Operation Orangutan,Miranda Richardson,False
2015, Narrator,The Roosevelts: An Intimate History,Peter Coyote,True
2015, Lead Actress In A Comedy Series,The Comeback,Lisa Kudrow,False
2015, Lead Actress In A Comedy Series,Grace And Frankie,Lily Tomlin,False
2015, Lead Actress In A Comedy Series,Parks And Recreation,Amy Poehler,False
2015, Lead Actress In A Comedy Series,Nurse Jackie,Edie Falco,False
2015, Lead Actress In A Comedy Series,Veep,Julia Louis-Dreyfus,True
2015, Lead Actress In A Comedy Series,Inside Amy Schumer,Amy Schumer,False
2015, Lead Actor In A Comedy Series,Episodes,Matt LeBlanc,False
2015, Lead Actor In A Comedy Series,Louie,Louis C.K.,False
2015, Lead Actor In A Comedy Series,House Of Lies,Don Cheadle,False
2015, Lead Actor In A Comedy Series,Shameless,William H. Macy,False
2015, Lead Actor In A Comedy Series,The Last Man On Earth,Will Forte,False
2015, Lead Actor In A Comedy Series,Transparent,Jeffrey Tambor,True
