year,category,nominee,workers,winner
1953,Film | British Actor in 1953,Ralph Richardson,The Sound Barrier,True
1955,Film | British Screenplay in 1955,"George Tabori, Robin Estridge",The Young Lovers,True
1955,Film | British Screenplay in 1955,Jack Whittingham,The Divided Heart,False
1955,Film | British Screenplay in 1955,Nicholas Phipps,Doctor In The House,False
1955,Film | British Screenplay in 1955,"David Lean, Norman Spencer, Wynyard Browne",Hobson's Choice,False
1955,Film | British Screenplay in 1955,"Hugh Mills, René Clément",The Knave Of Hearts,False
1955,Film | British Screenplay in 1955,William Rose,The Maggie,False
1955,Film | British Screenplay in 1955,Eric Ambler,The Purple Plain,False
1955,Film | British Screenplay in 1955,Renato Castellani,Romeo And Juliet,False
1955,Film | Foreign Actor in 1955,On The Waterfront,Marlon Brando,True
1955,Film | Foreign Actor in 1955,Riot In Cell Block 11,Neville Brand,False
1955,Film | Foreign Actor in 1955,The Caine Mutiny,José Ferrer,False
1955,Film | Foreign Actor in 1955,Executive Suite,Fredric March,False
1955,Film | Foreign Actor in 1955,The Glenn Miller Story,James Stewart,False
1955,Film | Foreign Actress in 1955,The Divided Heart,Cornell Borchers,True
1955,Film | Foreign Actress in 1955,About Mrs Leslie,Shirley Booth,False
1955,Film | Foreign Actress in 1955,Phffft,Judy Holliday,False
1955,Film | Foreign Actress in 1955,Dial M For Murder,Grace Kelly,False
1955,Film | Foreign Actress in 1955,"Bread, Love And Dreams (Pane, Amore E Fantasia)",Gina Lollobrigida,False
1955,Film | Most Promising Newcomer To Film in 1955,The Young Lovers,David Kossoff,True
1955,Film | Most Promising Newcomer To Film in 1955,The Moon is Blue,Maggie McNamara,False
1955,Film | Most Promising Newcomer To Film in 1955,On the Waterfront,Eva Marie Saint,False
1956,Film | British Actor in 1956,Laurence Olivier,Richard III,True
1956,Film | British Actor in 1956,Alfie Bass,The Bespoke Overcoat,False
1956,Film | British Actor in 1956,Alec Guinness,The Prisoner,False
1956,Film | British Actor in 1956,Jack Hawkins,The Prisoner,False
1956,Film | British Actor in 1956,David Kossoff,A Kid For Two Farthings,False
1956,Film | British Actor in 1956,Kenneth More,The Deep Blue Sea,False
1956,Film | British Actor in 1956,Michael Redgrave,The Night My Number Came Up,False
1956,Film | British Actress in 1956,Katie Johnson,The Ladykillers,True
1956,Film | British Actress in 1956,Margaret Johnson,Touch And Go,False
1956,Film | British Actress in 1956,Deborah Kerr,The End Of The Affair,False
1956,Film | British Actress in 1956,Margaret Lockwood,Cast A Dark Shadow,False
1956,Film | British Screenplay in 1956,William Rose,The Ladykillers,True
1956,Film | British Screenplay in 1956,"Sidney Gilliat, Val Valentine",The Constant Husband,False
1956,Film | British Screenplay in 1956,RC Sherriff,The Dambusters,False
1956,Film | British Screenplay in 1956,Terence Rattigan,The Deep Blue Sea,False
1956,Film | British Screenplay in 1956,"Nicholas Phipps, Jack Davies",Doctor At Sea,False
1956,Film | British Screenplay in 1956,RC Sherriff,The Night My Number Came Up,False
1956,Film | British Screenplay in 1956,Bridget Boland,The Prisoner,False
1956,Film | British Screenplay in 1956,John Baines,Simba,False
1956,Film | British Screenplay in 1956,William Rose,Touch And Go,False
1956,Film | Foreign Actor in 1956,Marty,Ernest Borgnine,True
1956,Film | Foreign Actor in 1956,East Of Eden,James Dean,False
1956,Film | Foreign Actor in 1956,Mister Roberts,Jack Lemmon,False
1956,Film | Foreign Actor in 1956,Seven Samurai (Shichinin No Samurai),Toshiro Mifune,False
1956,Film | Foreign Actor in 1956,Seven Samurai (Shichinin No Samurai),Takashi Shimura,False
1956,Film | Foreign Actor in 1956,Not as a Stranger,Frank Sinatra,False
1956,Film | Foreign Actress in 1956,Marty,Betsy Blair,True
1956,Film | Foreign Actress in 1956,Carmen Jones,Dorothy Dandridge,False
1956,Film | Foreign Actress in 1956,A Star Is Born,Judy Garland,False
1956,Film | Foreign Actress in 1956,I Am A Camera,Julie Harris,False
1956,Film | Foreign Actress in 1956,Summer Madness,Katharine Hepburn,False
1956,Film | Foreign Actress in 1956,The Country Girl,Grace Kelly,False
1956,Film | Foreign Actress in 1956,The Road (La Strada),Giulietta Masina,False
1956,Film | Foreign Actress in 1956,The Seven Year Itch,Marilyn Monroe,False
1956,Film | Most Promising Newcomer To Film in 1956,That Lady,Paul Scofield,True
1956,Film | Most Promising Newcomer To Film in 1956,East Of Eden,Jo Van Fleet,False
1957,Film | British Actor in 1957,Peter Finch,A Town Like Alice,True
1957,Film | British Actor in 1957,Jack Hawkins,The Long Arm,False
1957,Film | British Actor in 1957,Kenneth More,Reach For The Sky,False
1957,Film | British Actress in 1957,Virginia McKenna,A Town Like Alice,True
1957,Film | British Actress in 1957,Dorothy Allison,Reach For The Sky,False
1957,Film | British Actress in 1957,Audrey Hepburn,War And Peace,False
1957,Film | British Screenplay in 1957,Nigel Balchin,The Man Who Never Was,True
1957,Film | British Screenplay in 1957,"Michael Powell, Emeric Pressburger",The Battle Of the River Plate,False
1957,Film | British Screenplay in 1957,"Sidney Gilliat, Frank Launder",The Green Man,False
1957,Film | British Screenplay in 1957,"Frank Harvey, John Boulting",Private's Progress,False
1957,Film | British Screenplay in 1957,Lewis Gilbert,Reach For The Sky,False
1957,Film | British Screenplay in 1957,"Moore Raymond, Anthony Kimmins",Smiley,False
1957,Film | British Screenplay in 1957,"Hubert Gregg, Vernon Harris",Three Men In A Boat,False
1957,Film | British Screenplay in 1957,"WP Lipscomb, Richard Mason",A Town Like Alice,False
1957,Film | British Screenplay in 1957,"John Cresswell, Joan Henry",Yield To The Night,False
1957,Film | Foreign Actor in 1957,Gervaise,François Périer,True
1957,Film | Foreign Actor in 1957,Smiles Of A Summer Night (Sommarnattens Leende),Gunnar Björnstrand,False
1957,Film | Foreign Actor in 1957,Rebel Without A Cause,James Dean,False
1957,Film | Foreign Actor in 1957,The  Unfrocked One (Le Défroqué),Pierre Fresnay,False
1957,Film | Foreign Actor in 1957,Picnic,William Holden,False
1957,Film | Foreign Actor in 1957,Baby Doll,Karl Malden,False
1957,Film | Foreign Actor in 1957,The Man With The Golden Arm,Frank Sinatra,False
1957,Film | Foreign Actor in 1957,The Mountain,Spencer Tracy,False
1957,Film | Foreign Actress in 1957,The Rose Tattoo,Anna Magnani,True
1957,Film | Foreign Actress in 1957,Baby Doll,Carroll Baker,False
1957,Film | Foreign Actress in 1957,Smiles Of A Summer Night (Sommarnattens Leende),Eva Dahlbeck,False
1957,Film | Foreign Actress in 1957,Bhowhani Junction,Ava Gardner,False
1957,Film | Foreign Actress in 1957,I'll Cry Tomorrow,Susan Hayward,False
1957,Film | Foreign Actress in 1957,The Trouble With Harry,Shirley MacLaine,False
1957,Film | Foreign Actress in 1957,Picnic,Kim Novak,False
1957,Film | Foreign Actress in 1957,The Rose Tattoo,Marisa Pavan,False
1957,Film | Foreign Actress in 1957,Gervaise,Maria Schell,False
1957,Film | Foreign Actress in 1957,Guys And Dolls,Jean Simmons,False
1957,Film | Most Promising Newcomer To Film in 1957,Baby Doll,Eli Wallach,True
1957,Film | Most Promising Newcomer To Film in 1957,The Man Who Never Was,Stephen Boyd,False
1957,Film | Most Promising Newcomer To Film in 1957,Bus Stop,Don Murray,False
1957,Film | Most Promising Newcomer To Film in 1957,Picnic,Susan Strasberg,False
1957,Film | Most Promising Newcomer To Film in 1957,Patterns Of Power,Elizabeth Wilson,False
1958,Film | British Actor in 1958,Alec Guinness,The Bridge On The River Kwai,True
1958,Film | British Actor in 1958,Peter Finch,Windom's Way,False
1958,Film | British Actor in 1958,Trevor Howard,Manuela,False
1958,Film | British Actor in 1958,Laurence Olivier,The Prince And The Showgirl,False
1958,Film | British Actor in 1958,Michael Redgrave,Time Without Pity,False
1958,Film | British Actress in 1958,Heather Sears,The Story Of Esther Costello,True
1958,Film | British Actress in 1958,Deborah Kerr,Tea and Sympathy,False
1958,Film | British Actress in 1958,Sylvia Syms,Woman In A Dressing Gown,False
1958,Film | British Screenplay in 1958,Pierre Boulle,The Bridge On The River Kwai,True
1958,Film | British Screenplay in 1958,Arthur Laurents,Anastasia,False
1958,Film | British Screenplay in 1958,Jack Whittingham,The Birthday Present,False
1958,Film | British Screenplay in 1958,"John Kruse, C Raker Endfield",Hell Drivers,False
1958,Film | British Screenplay in 1958,"William Rose, John Eldridge",The Man In The Sky,False
1958,Film | British Screenplay in 1958,Terence Rattigan,The Prince And The Showgirl,False
1958,Film | British Screenplay in 1958,"William Rose, John Eldridge",The Smallest Show On Earth,False
1958,Film | British Screenplay in 1958,Charles Kaufman,The Story Of Esther Costello,False
1958,Film | British Screenplay in 1958,Jill Craigie,Windom's Way,False
1958,Film | British Screenplay in 1958,Ted Willis,Woman In A Dressing Gown,False
1958,Film | Foreign Actor in 1958,Twelve Angry Men,Henry Fonda,True
1958,Film | Foreign Actor in 1958,Time Limit,Richard Basehart,False
1958,Film | Foreign Actor in 1958,The Gates Of Paris (Porte Des Lilas),Pierre Brasseur,False
1958,Film | Foreign Actor in 1958,The Sweet Smell of Success,Tony Curtis,False
1958,Film | Foreign Actor in 1958,Pig Across Paris (La Traversée De Paris),Jean Gabin,False
1958,Film | Foreign Actor in 1958,"Heaven Knows, Mr Allison",Robert Mitchum,False
1958,Film | Foreign Actor in 1958,A Man Is Ten Feet Tall,Sidney Poitier,False
1958,Film | Foreign Actor in 1958,The Great Man,Ed Wynn,False
1958,Film | Foreign Actress in 1958,The Witches Of Salem (Les Sorcières De Salem),Simone Signoret,True
1958,Film | Foreign Actress in 1958,That Night,Augusta Dabney,False
1958,Film | Foreign Actress in 1958,The Rainmaker,Katharine Hepburn,False
1958,Film | Foreign Actress in 1958,The Prince And The Showgirl,Marilyn Monroe,False
1958,Film | Foreign Actress in 1958,Is Anna Anderson Anastasia? (Anastasia - Die Letzte Zarentochter),Lili Palmer,False
1958,Film | Foreign Actress in 1958,A Hatful Of Rain,Eva Marie Saint,False
1958,Film | Foreign Actress in 1958,The Three Faces Of Eve,Joanne Woodward,False
1958,Film | Most Promising Newcomer To Film in 1958,Brothers In Law,Eric Barker,True
1958,Film | Most Promising Newcomer To Film in 1958,The Witches Of Salem ( Les Sorcières De Salem),Mylene Demongeot,False
1958,Film | Most Promising Newcomer To Film in 1958,True As A Turtle,Elvi Hale,False
1958,Film | Most Promising Newcomer To Film in 1958,The Young Stranger,James McArthur,False
1958,Film | Most Promising Newcomer To Film in 1958,True As A Turtle,Keith Michell,False
1959,Film | British Actor in 1959,Trevor Howard,The Key,True
1959,Film | British Actor in 1959,Michael Craig,Sea Of Sand,False
1959,Film | British Actor in 1959,Laurence Harvey,Room At The Top,False
1959,Film | British Actor in 1959,IS Johar,Harry Black,False
1959,Film | British Actor in 1959,Anthony Quayle,Ice Cold In Alex,False
1959,Film | British Actor in 1959,Terry Thomas,Tom Thumb,False
1959,Film | British Actor in 1959,Donald Wolfit,Room At The Top,False
1959,Film | British Actress in 1959,Irene Worth,Orders To Kill,True
1959,Film | British Actress in 1959,Hermione Baddeley,Room At The Top,False
1959,Film | British Actress in 1959,Karuna Banerjee,The Unvanquished (Aparajito),False
1959,Film | British Actress in 1959,Virginia McKenna,Carve Her Name With Pride,False
1959,Film | British Screenplay in 1959,Paul Dehn,Orders to Kill,True
1959,Film | British Screenplay in 1959,Arthur Laurents,Bonjour Tristesse,False
1959,Film | British Screenplay in 1959,Vernon Harris,A Cry From The Streets,False
1959,Film | British Screenplay in 1959,TJ Morrison,Ice Cold In Alex,False
1959,Film | British Screenplay in 1959,Norman Krasna,Indiscreet,False
1959,Film | British Screenplay in 1959,Isobel Lennart,The Inn of the Sixth Happiness,False
1959,Film | British Screenplay in 1959,Carl Foreman,The Key,False
1959,Film | British Screenplay in 1959,Alun Falconer,The Man Upstairs,False
1959,Film | British Screenplay in 1959,Eric Ambler,A Night To Remember,False
1959,Film | British Screenplay in 1959,James Kennaway,Violent Playground,False
1959,Film | Foreign Actor in 1959,The Defiant Ones,Sidney Poitier,True
1959,Film | Foreign Actor in 1959,The Young Lions,Marlon Brando,False
1959,Film | Foreign Actor in 1959,The Defiant Ones,Tony Curtis,False
1959,Film | Foreign Actor in 1959,The Sheepman,Glenn Ford,False
1959,Film | Foreign Actor in 1959,The Enemy Below/The Inn Of The Sixth Happiness,Curt Jurgens,False
1959,Film | Foreign Actor in 1959,Witness For The Prosecution,Charles Laughton,False
1959,Film | Foreign Actor in 1959,Cat On A Hot Tin Roof,Paul Newman,False
1959,Film | Foreign Actor in 1959,Wild Strawberries (Smultronstället),Victor Sjostrom,False
1959,Film | Foreign Actor in 1959,The Last Hurrah,Spencer Tracy,False
1959,Film | Foreign Actress in 1959,Room At The Top,Simone Signoret,True
1959,Film | Foreign Actress in 1959,The Inn Of The Sixth Happiness,Ingrid Bergman,False
1959,Film | Foreign Actress in 1959,Wild Is The Wind,Anna Magnani,False
1959,Film | Foreign Actress in 1959,Cabiria (Le Notti Di Cabiria),Giulietta Masina,False
1959,Film | Foreign Actress in 1959,The Cranes Are Flying (Letyat Zhuravli),Tatyana Samojlova,False
1959,Film | Foreign Actress in 1959,Cat on a Hot Tin Roof,Elizabeth Taylor,False
1959,Film | Foreign Actress in 1959,No Down Payment,Joanne Woodward,False
1959,Film | Most Promising Newcomer To Film in 1959,Orders To Kill,Paul Massie,True
1959,Film | Most Promising Newcomer To Film in 1959,Sayonara,Red Buttons,False
1959,Film | Most Promising Newcomer To Film in 1959,Canal (Kanal),Teresa Izewska,False
1959,Film | Most Promising Newcomer To Film in 1959,Room At The Top,Mary Peach,False
1959,Film | Most Promising Newcomer To Film in 1959,Camp On Blood Island,Ronald Radd,False
1959,Film | Most Promising Newcomer To Film in 1959,Nowhere To Go,Maggie Smith,False
1959,Film | Most Promising Newcomer To Film in 1959,What Lola Wants,Gwen Vernon,False
1960,Film | British Actor in 1960,Peter Sellers,I'm All Right Jack,True
1960,Film | British Actor in 1960,Stanley Baker,Yesterday's Enemy,False
1960,Film | British Actor in 1960,Richard Burton,Look Back In Anger,False
1960,Film | British Actor in 1960,Peter Finch,The Nun's Story,False
1960,Film | British Actor in 1960,Laurence Harvey,Expresso Bongo,False
1960,Film | British Actor in 1960,Gordon Jackson,Yesterday's Enemy,False
1960,Film | British Actor in 1960,Laurence Olivier,The Devil's Disciple,False
1960,Film | British Actress in 1960,Audrey Hepburn,The Nun's Story,True
1960,Film | British Actress in 1960,Peggy Ashcroft,The Nun's Story,False
1960,Film | British Actress in 1960,Wendy Hiller,Separate Tables,False
1960,Film | British Actress in 1960,Yvonne Mitchell,Sapphire,False
1960,Film | British Actress in 1960,Sylvia Syms,No Trees In The Street,False
1960,Film | British Actress in 1960,Kay Walsh,The Horse's Mouth,False
1960,Film | British Film in 1960,Basil Dearden,Sapphire,True
1960,Film | British Film in 1960,Tony Richardson,Look Back In Anger,False
1960,Film | British Film in 1960,J Lee Thompson,North West Frontier,False
1960,Film | British Film in 1960,J Lee Thompson,Tiger Bay,False
1960,Film | British Film in 1960,Val Guest,Yesterday's Enemy,False
1960,Film | British Screenplay in 1960,"Frank Harvey, John Boulting, Alan Hackney","I'm All Right, Jack",True
1960,Film | British Screenplay in 1960,"Ben Barzman, Millard Lampell",Blind Date,False
1960,Film | British Screenplay in 1960,Wolf Mankowitz,Expresso Bongo,False
1960,Film | British Screenplay in 1960,Alec Guinness,The Horse's Mouth,False
1960,Film | British Screenplay in 1960,Nigel Kneale,Look Back In Anger,False
1960,Film | British Screenplay in 1960,Robin Estridge,North West Frontier,False
1960,Film | British Screenplay in 1960,Ted Willis,No Trees In The Street,False
1960,Film | British Screenplay in 1960,Janet Green,Sapphire,False
1960,Film | British Screenplay in 1960,"John Hawkesworth, Shelley Smith",Tiger Bay,False
1960,Film | Film From Any Source in 1960,William Wyler,Ben Hur,True
1960,Film | Film From Any Source in 1960,Otto Preminger,Anatomy Of A Murder,False
1960,Film | Film From Any Source in 1960,Ingmar Bergman,The Face (Ansiktet),False
1960,Film | Film From Any Source in 1960,William Wyler,The Big Country,False
1960,Film | Film From Any Source in 1960,Richard Fleischer,Compulsion,False
1960,Film | Film From Any Source in 1960,Vincente Minnelli,Gigi,False
1960,Film | Film From Any Source in 1960,Tony Richardson,Look Back In Anger,False
1960,Film | Film From Any Source in 1960,Jean Delannoy,Maigret Sets A Trap (Maigret Tend Un Piège),False
1960,Film | Film From Any Source in 1960,J Lee Thompson,North West Frontier,False
1960,Film | Film From Any Source in 1960,Fred Zinnemann,The Nun's Story,False
1960,Film | Film From Any Source in 1960,Andrzej Wajda,Ashes And Diamonds (Popiól I Diament),False
1960,Film | Film From Any Source in 1960,Basil Dearden,Sapphire,False
1960,Film | Film From Any Source in 1960,Billy Wilder,Some Like It Hot,False
1960,Film | Film From Any Source in 1960,J Lee Thompson,Tiger Bay,False
1960,Film | Film From Any Source in 1960,Val Guest,Yesterday's Enemy,False
1960,Film | Foreign Actor in 1960,Some Like It Hot,Jack Lemmon,True
1960,Film | Foreign Actor in 1960,Ashes And Diamonds (Popiól I Diament),Zbigniew Cybulski,False
1960,Film | Foreign Actor in 1960,Maigret Sets A Trap (Maigret Tend Un Piège),Jean Desailly,False
1960,Film | Foreign Actor in 1960,Maigret Sets A Trap (Maigret Tend Un Piège),Jean Gabin,False
1960,Film | Foreign Actor in 1960,Living (Ikiru),Takashi Shimura,False
1960,Film | Foreign Actor in 1960,Anatomy Of A Murder,James Stewart,False
1960,Film | Foreign Actress in 1960,Ask Any Girl,Shirley MacLaine,True
1960,Film | Foreign Actress in 1960,On The Beach,Ava Gardner,False
1960,Film | Foreign Actress in 1960,I Want To Live,Susan Hayward,False
1960,Film | Foreign Actress in 1960,A Matter Of Dignity,Ella Lambetti,False
1960,Film | Foreign Actress in 1960,Auntie Mame,Rosalind Russell,False
1960,Film | Most Promising Newcomer To Film in 1960,Tiger Bay,Hayley Mills,True
1960,Film | Most Promising Newcomer To Film in 1960,The Siege Of Pinchgut,Gerry Duggan,False
1960,Film | Most Promising Newcomer To Film in 1960,"I'm All Right, Jack",Liz Fraser,False
1960,Film | Most Promising Newcomer To Film in 1960,Anatomy Of A Murder,Joseph N Welch,False
1960,"Film | Robert Flaherty Award (Feature Length Film, Documentary In Content) in 1960","Joseph Strick, Sidney Meyers, Ben Maddow",The Savage Eye,True
1960,"Film | Robert Flaherty Award (Feature Length Film, Documentary In Content) in 1960",Richard Cawston,This Is The BBC,False
1960,"Film | Robert Flaherty Award (Feature Length Film, Documentary In Content) in 1960",Karel Reisz,We Are The Lambeth Boys,False
1960,"Film | Robert Flaherty Award (Feature Length Film, Documentary In Content) in 1960",James Algar,White Wilderness,False
1961,Film | British Actor in 1961,Peter Finch,The Trials Of Oscar Wilde,True
1961,Film | British Actor in 1961,Richard Attenborough,The Angry Silence,False
1961,Film | British Actor in 1961,Albert Finney,Saturday Night And Sunday Morning,False
1961,Film | British Actor in 1961,John Fraser,The Trials Of Oscar Wilde,False
1961,Film | British Actor in 1961,Alec Guinness,Tunes Of Glory,False
1961,Film | British Actor in 1961,John Mills,Tunes Of Glory,False
1961,Film | British Actor in 1961,Laurence Olivier,The Entertainer,False
1961,Film | British Actress in 1961,Rachel Roberts,Saturday Night And Sunday Morning,True
1961,Film | British Actress in 1961,Wendy Hiller,Sons And Lovers,False
1961,Film | British Actress in 1961,Hayley Mills,Pollyanna,False
1961,Film | British Film in 1961,Karel Reisz,Saturday Night And Sunday Morning,True
1961,Film | British Film in 1961,Guy Green,The Angry Silence,False
1961,Film | British Film in 1961,Ken Hughes,The Trials Of Oscar Wilde,False
1961,Film | British Film in 1961,Ronald Neame,Tunes Of Glory,False
1961,Film | British Screenplay in 1961,Bryan Forbes,The Angry Silence,True
1961,Film | British Screenplay in 1961,Howard Clewes,The Day They Robbed The Bank Of England,False
1961,Film | British Screenplay in 1961,"John Osborne, Nigel Kneale",The Entertainer,False
1961,Film | British Screenplay in 1961,Val Guest,Hell Is A City,False
1961,Film | British Screenplay in 1961,Bryan Forbes,The League Of Gentlemen,False
1961,Film | British Screenplay in 1961,Wolf Mankowitz,The Millionairess,False
1961,Film | British Screenplay in 1961,Alan Sillitoe,Saturday Night And Sunday Morning,False
1961,Film | British Screenplay in 1961,"Roger MacDougall, Guy Hamilton, Ivan Foxwell",A Touch Of Larceny,False
1961,Film | British Screenplay in 1961,Ken Hughes,The Trials Of Oscar Wilde,False
1961,Film | British Screenplay in 1961,James Kennaway,Tunes Of Glory,False
1961,Film | Film From Any Source in 1961,Billy Wilder,The Apartment,True
1961,Film | Film From Any Source in 1961,Guy Green,The Angry Silence,False
1961,Film | Film From Any Source in 1961,Michelangelo Antonioni,The Adventure (L'Avventura),False
1961,Film | Film From Any Source in 1961,Federico Fellini,The Sweet Life (La Dolce Vita),False
1961,Film | Film From Any Source in 1961,Richard Brooks,Elmer Gantry,False
1961,Film | Film From Any Source in 1961,Alain Resnais,"Hiroshima, My Love (Hiroshima, Mon Amour)",False
1961,Film | Film From Any Source in 1961,Stanley Kramer,Inherit The Wind,False
1961,Film | Film From Any Source in 1961,George Cukor,Let's Make Love,False
1961,Film | Film From Any Source in 1961,Jules Dassin,Never On A Sunday,False
1961,Film | Film From Any Source in 1961,Marcel Camus,Black Orpheus (Orfeu Negro),False
1961,Film | Film From Any Source in 1961,François Truffaut,The Four Hundred Blows (Les Quatre Cents Coups),False
1961,Film | Film From Any Source in 1961,Karel Reisz,Saturday Night And Sunday Morning,False
1961,Film | Film From Any Source in 1961,John Cassavetes,Shadows,False
1961,Film | Film From Any Source in 1961,Stanley Kubrick,Spartacus,False
1961,Film | Film From Any Source in 1961,Jean Cocteau,"The Testament Of Orpheus (Le Testament D'Orphée, ou ne me demandez pas pourquoi!)",False
1961,Film | Film From Any Source in 1961,Ken Hughes,The Trials Of Oscar Wilde,False
1961,Film | Film From Any Source in 1961,Ronald Neame,Tunes Of Glory,False
1961,Film | Foreign Actor in 1961,The Apartment,Jack Lemmon,True
1961,Film | Foreign Actor in 1961,Crime And Punishment USA,George Hamilton,False
1961,Film | Foreign Actor in 1961,Elmer Gantry,Burt Lancaster,False
1961,Film | Foreign Actor in 1961,Inherit The Wind,Fredric March,False
1961,Film | Foreign Actor in 1961,Let's Make Love,Yves Montand,False
1961,Film | Foreign Actor in 1961,Inherit The Wind,Spencer Tracy,False
1961,Film | Foreign Actress in 1961,The Apartment,Shirley MacLaine,True
1961,Film | Foreign Actress in 1961,The Angry Silence,Pier Angeli,False
1961,Film | Foreign Actress in 1961,Never On A Sunday,Melina Mercouri,False
1961,Film | Foreign Actress in 1961,"Hiroshima, My Love (Hiroshima, Mon Amour)",Emmanuelle Riva,False
1961,Film | Foreign Actress in 1961,Elmer Gantry,Jean Simmons,False
1961,Film | Foreign Actress in 1961,The Adventure (L'Avventura),Monica Vitti,False
1962,Film | British Actor in 1962,Peter Finch,No Love For Johnnie,True
1962,Film | British Actor in 1962,Dirk Bogarde,Victim,False
1962,Film | British Actress in 1962,Dora Bryan,A Taste Of Honey,True
1962,Film | British Actress in 1962,Deborah Kerr,The Sundowners,False
1962,Film | British Actress in 1962,Hayley Mills,Whistle Down The Wind,False
1962,Film | British Screenplay in 1962,"Wolf Mankowitz, Val Guest",The Day The Earth Caught Fire,True
1962,Film | British Screenplay in 1962,"Shelagh Delaney, Tony Richardson",A Taste Of Honey,True
1962,Film | British Screenplay in 1962,Ted Willis,Flame In The Streets,False
1962,Film | British Screenplay in 1962,Carl Foreman,The Guns Of Navarone,False
1962,Film | British Screenplay in 1962,"Janet Green, John McCormick",Victim,False
1962,Film | British Screenplay in 1962,"Keith Waterhouse, Willis Hall",Whistle Down The Wind,False
1962,Film | Foreign Actor in 1962,The Hustler,Paul Newman,True
1962,Film | Foreign Actor in 1962,Judgment At Nuremberg,Montgomery Clift,False
