nominee,oscar_nomination,emmy_nomination,bafta_nomination,golden_globe_nomination
"Andy Lewis, Dave Lewis",1,0,0,0
"Elio Petri, Ugo Pirro",1,0,0,0
"Larry McMurtry, Peter Bogdanovich",1,0,1,0
"Ugo Pirro, Vittorio Bonicelli",1,0,0,0
Ernest Tidyman,1,0,0,0
Peter Bogdanovich,1,0,0,2
Margaret Leighton,1,0,1,0
Cloris Leachman,1,0,0,4
Barbara Harris,1,0,0,4
Janet Suzman,1,0,0,0
Ned Beatty,1,0,0,1
Marie-Christine Barrault,1,0,0,0
Robert Lewin,1,0,0,0
Elizabeth McGovern,1,0,0,1
"Warren Beatty, Trevor Griffiths",1,0,0,0
Colin Welland,1,0,1,0
John Guare,1,0,1,0
Steve Gordon,1,0,0,0
Michael Weller,1,0,0,0
"Jay Presson Allen, Sidney Lumet",1,0,0,0
Dennis Potter,1,0,0,0
Ernest Thompson,1,0,1,0
Mark Rydell,1,0,0,2
Hugh Hudson,1,0,0,0
Joan Hackett,1,0,0,1
Robert Preston,1,0,0,2
"Howard E. Rollins, Jr.",1,0,0,0
Ian Holm,1,0,1,0
James Coco,1,0,0,2
Dudley Moore,1,0,0,4
"Nancy Meyers, Charles Shyer, Harvey Miller",1,0,0,0
Jean Gruault,1,0,0,0
Christopher Gore,1,0,0,0
"Screenplay by W. D. Richter;  Story by W. D. Richter, Arthur Ross",1,0,0,0
Screenplay by Lawrence B. Marcus;  Adaptation by Richard Rush,1,0,0,0
"Christopher DeVore, Eric Bergren, David Lynch",1,0,0,0
"Louis Gossett, Jr.",1,0,0,0
Teri Garr,1,0,0,0
"Jonathan Hardy, David Stevens, Bruce Beresford",1,0,0,0
Linda Hunt,1,0,0,1
Tom Hulce,1,0,0,4
F. Murray Abraham,1,0,0,1
"Lawrence Lasker, Walter F. Parkes",1,0,0,0
"Nora Ephron, Alice Arlen",1,0,0,0
"Lawrence Kasdan, Barbara Benedek",1,0,0,0
Willy Russell,1,0,2,0
Ronald Harwood,1,0,2,0
Bruce Beresford,1,0,0,1
Alfre Woodard,1,0,0,3
Amy Irving,1,0,0,2
Rip Torn,1,0,0,0
Lesley Ann Warren,1,0,0,4
Sam Shepard,1,0,1,1
Tom Conti,1,0,0,2
"Screenplay by Larry Gelbart, Murray Schisgal; Story by Don McGuire, Larry Gelbart",1,0,0,0
Douglas Day Stewart,1,0,0,0
John Briley,1,0,1,0
Melissa Mathison,1,0,1,0
Blake Edwards,1,0,0,1
David Mamet,1,0,0,0
"Costa-Gavras, Donald Stewart",1,0,1,0
Richard Attenborough,1,0,3,5
Tom Rickman,1,0,0,0
Richard Rush,1,0,0,1
Beatrice Straight,1,0,0,0
Herbert Ross,1,0,0,1
Walter Newman,1,0,0,0
"Warren Beatty, Buck Henry",1,0,0,0
Michael Cimino,1,0,0,1
Hal Ashby,1,0,0,3
Penelope Milford,1,0,0,0
Gary Busey,1,0,0,1
Arthur Laurents,1,0,0,0
"Luis Buñuel, Jean-Claude Carrière",1,0,1,0
Larry Gelbart,1,0,0,0
"Gavin Lambert, Lewis John Carlino",1,0,0,0
Tuesday Weld,1,0,0,1
Bernard Slade,1,0,0,0
Quinn Cummings,1,0,0,1
Leslie Browne,1,0,0,1
Peter Firth,1,0,0,1
Mikhail Baryshnikov,1,0,0,1
Walter Bernstein,1,0,0,0
Story and Screenplay by Jean-Charles Tacchella;  Adaptation by Daniele Thompson,1,0,0,0
"Steve Shagan, David Butler",1,0,0,0
Nicholas Meyer,1,0,0,0
"Federico Fellini, Bernardino Zapponi",1,0,0,0
John G. Avildsen,1,0,0,1
"Elaine May, Warren Beatty",1,0,0,0
"Story by Nancy Dowd;  Screenplay by Waldo Salt, Robert C. Jones",1,0,0,0
Mary Steenburgen,1,0,0,2
"Robert Alan Aurthur, Bob Fosse",1,0,0,0
Diana Scarwid,1,0,0,0
Cathy Moriarty,1,0,0,1
Eva Le Gallienne,1,0,0,0
Eileen Brennan,1,0,0,2
Mary Tyler Moore,1,0,1,9
Michael O'Keefe,1,0,0,0
Timothy Hutton,1,0,0,3
"Mike Gray, T.S. Cook, James Bridges",1,0,0,0
Steve Tesich,1,0,0,0
"Valerie Curtin, Barry Levinson",1,0,0,0
Allan Burns,1,0,0,0
"Story by Michael Cimino, Deric Washburn, Louis Garfinkle, Quinn K. Redeker;  Screenplay by Deric Washburn",1,0,0,0
"Francis Veber, Edouard Molinaro, Marcello Danon, Jean Poiret",1,0,0,0
"John Milius, Francis Coppola",1,0,0,0
Edouard Molinaro,1,0,0,0
Francis Coppola,1,0,0,0
Mariel Hemingway,1,0,0,1
Candice Bergen,1,0,0,11
Barbara Barrie,1,0,0,0
Justin Henry,1,0,0,1
Frederic Forrest,1,0,0,1
Paul Mazursky,1,0,0,1
"Story by Walon Green, Roy N. Sickner;  Screenplay by Walon Green, Sam Peckinpah",1,0,0,0
"Peter Fonda, Dennis Hopper, Terry Southern",1,0,0,0
"Story by Nicola Badalucco;   Screenplay by Nicola Badalucco, Enrico Medioli, Luchino Visconti",1,0,0,0
George Chakiris,1,0,0,1
"Sergio Amidei, Diego Fabbri, Indro Montanelli",1,0,0,0
"Valentin Yoshov, Grigori Chukhrai",1,0,0,0
"Sidney Carroll, Robert Rossen",1,0,0,0
George Axelrod,1,0,0,0
"Robert Wise, Jerome Robbins",1,0,0,0
J. Lee Thompson,1,0,0,1
Rita Moreno,1,0,1,3
Una Merkel,1,0,0,0
Lotte Lenya,1,0,0,1
Jackie Gleason,1,0,0,3
Stuart Whitman,1,0,0,0
"Stanley Shapiro, Paul Henning",1,0,0,0
Marguerite Duras,1,0,0,0
"Story by Richard Gregson, Michael Craig;  Screenplay by Bryan Forbes",1,0,0,0
James Kennaway,1,0,0,0
Isobel Lennart,1,0,0,0
"Gavin Lambert, T. E. B. Clarke",1,0,0,0
Jack Cardiff,1,0,0,1
Mary Ure,1,0,0,1
Janet Leigh,1,0,0,1
Shirley Jones,1,0,0,4
Glynis Johns,1,0,0,1
"Federico Fellini, Tullio Pinelli, Ennio Flaiano, Brunello Rondi",1,0,0,0
William Inge,1,0,0,0
Chill Wills,1,0,0,0
"Robert Bolt, Michael Wilson",1,0,0,0
Diane Cilento,1,0,0,0
Rachel Roberts,1,0,2,1
Bobby Darin,1,0,0,2
Nick Adams,1,0,0,0
"Stanley Shapiro, Nate Monaster",1,0,0,0
Alain Robbe-Grillet,1,0,0,0
"Story by Charles Kaufman;  Screenplay by Charles Kaufman, Wolfgang Reinhardt",1,0,0,0
"Ennio de Concini, Alfredo Giannetti, Pietro Germi",1,0,0,0
William Gibson,1,0,0,0
Vladimir Nabokov,1,0,0,0
Eleanor Perry,1,0,0,0
Ed Begley,1,0,0,1
Robert Mulligan,1,0,0,2
Pietro Germi,1,0,0,0
Frank Perry,1,0,0,0
Patty Duke,1,0,0,3
Mary Badham,1,0,0,0
Lee Remick,1,0,0,6
Terence Stamp,1,0,1,1
Omar Sharif,1,0,0,2
Telly Savalas,1,0,0,6
Victor Buono,1,0,0,1
Melina Mercouri,1,0,0,3
Jack Kruschen,1,0,0,0
"Paul Mazursky, Larry Tucker",1,0,1,0
Miyoshi Umeki,1,0,0,3
Tony Curtis,1,0,0,2
"Story by Federico Fellini, Ennio Flaiano, Tullio Pinelli;  Screenplay by Federico Fellini, Ennio Flaiano",1,0,0,0
"Story by Barney Slater, Joel Kane;  Screenplay by Dudley Nichols",1,0,0,0
"Story by Ralph Wheelwright;  Screenplay by R. Wright Campbell, Ivan Goff, Ben Roberts",1,0,0,0
Leonard Gershe,1,0,0,0
George Wells,1,0,0,0
Reginald Rose,1,0,0,0
"John Lee Mahin, John Huston",1,0,0,0
"Michael Wilson, Carl Foreman, Pierre Boulle",1,0,0,0
Diane Varsi,1,0,0,0
Hope Lange,1,0,0,2
Theodore Bikel,1,0,0,0
Carolyn Jones,1,0,0,1
Lana Turner,1,0,0,0
Russ Tamblyn,1,0,0,0
Sessue Hayakawa,1,0,0,1
Vittorio De Sica,1,0,0,0
Red Buttons,1,0,0,3
Anthony Franciosa,1,0,0,3
Albert Lamorisse,1,0,0,0
"Federico Fellini, Tullio Pinelli",1,0,0,0
Andrew L. Stone,1,0,0,0
David Niven,1,0,1,3
Burl Ives,1,0,0,1
Trevor Howard,1,0,3,3
Doris Day,1,0,0,6
"Story by Russell Rouse, Clarence Greene;  Screenplay by Stanley Shapiro, Maurice Richlin",1,0,0,0
"Story by Paul King, Joseph Stone;  Screenplay by Stanley Shapiro, Maurice Richlin",1,0,0,0
"Francois Truffaut, Marcel Moussy",1,0,0,0
Neil Paterson,1,0,0,0
Karl Tunberg,1,0,0,0
Wendell Mayes,1,0,0,0
Jack Clayton,1,0,0,0
Juanita Moore,1,0,0,1
Susan Kohner,1,0,0,2
Hermione Baddeley,1,0,1,1
Ed Wynn,1,0,0,1
Peggy Cass,1,0,0,1
Robert Vaughn,1,0,0,3
Charlton Heston,1,0,0,3
Laurence Harvey,1,0,2,1
"Fay Kanin, Michael Kanin",1,0,0,0
"Story by James Edward Grant;  Screenplay by William Bowers, James Edward Grant",1,0,0,0
"Terence Rattigan, John Gay",1,0,0,0
"Nelson Gidding, Don Mankiewicz",1,0,0,0
"Richard Brooks, James Poe",1,0,0,0
Cara Williams,1,0,0,1
Martha Hyer,1,0,0,0
Margaret Rutherford,1,0,0,1
Lilia Skala,1,0,0,2
Martin Ritt,1,0,0,2
Stirling Silliphant,1,0,0,0
Daniel Massey,1,0,0,1
Seymour Cassel,1,0,0,0
Jack Albertson,1,0,0,0
Cliff Robertson,1,0,0,1
Ron Moody,1,0,0,1
Alan Bates,1,0,2,3
Jorge Semprun,1,0,0,0
Story by Robert Kaufman;  Screenplay by Norman Lear,1,0,0,0
"David Newman, Robert Benton",1,0,0,0
"Joseph Strick, Fred Haines",1,0,0,0
"Calder Willingham, Buck Henry",1,0,1,0
Gene Wilder,1,0,0,2
"Donn Pearce, Frank R. Pierson",1,0,0,0
Katharine Ross,1,0,1,1
Beah Richards,1,0,0,1
Mildred Natwick,1,0,0,0
Carol Channing,1,0,0,1
Michael J. Pollard,1,0,0,1
George Kennedy,1,0,0,2
"Clint Johnston, Don Peters",1,0,0,0
"Story by Claude Lelouch;  Screenplay by Claude Lelouch, Pierre Uytterhoeven",1,0,0,0
Robert Ardrey,1,0,0,0
Jack Wild,1,0,0,0
Lynn Carlin,1,0,1,0
Tony Richardson,1,0,0,1
Rupert Crosse,1,0,0,0
"Jorge Semprun, Costa-Gavras",1,0,0,0
"James Poe, Robert E. Thompson",1,0,0,0
Waldo Salt,1,0,1,0
"Screenplay by John Hale, Bridget Boland;  Adaptation by Richard Sokolove",1,0,0,0
Costa-Gavras,1,0,0,0
Susannah York,1,0,0,2
Catherine Burns,1,0,0,0
Genevieve Bujold,1,0,0,0
Anthony Quayle,1,0,1,1
Elliott Gould,1,0,0,1
"Stanley Kubrick, Arthur C. Clarke",1,0,0,0
Sondra Locke,1,0,0,1
Mel Brooks,1,0,0,2
"Ira Wallach, Peter Ustinov",1,0,0,0
"Franco Solinas, Gillo Pontecorvo",1,0,0,0
Stewart Stern,1,0,0,0
Vernon Harris,1,0,0,0
James Goldman,1,0,1,0
Franco Zeffirelli,1,0,0,1
Anthony Harvey,1,0,0,1
Gillo Pontecorvo,1,0,0,0
Kay Medford,1,0,0,0
"Story by Michelangelo Antonioni;  Screenplay by Michelangelo Antonioni, Tonino Guerra, Edward Bond",1,0,0,0
Bill Naughton,1,0,0,0
Claude Lelouch,1,0,0,1
Lila Kedrova,1,0,0,1
"Jean-Paul Rappeneau, Ariane Mnouchkine, Daniel Boulanger, Philippe De Broca",1,0,0,0
"Age, Scarpelli, Mario Monicelli",1,0,0,0
"Story by Orville H. Hampton;  Screenplay by Raphael Hayes, Orville H. Hampton",1,0,0,0
Alun Owen,1,0,0,0
"Story by S. H. Barnett;  Screenplay by Peter Stone, Frank Tarloff",1,0,0,0
"Bill Walsh, Don DaGradi",1,0,0,0
"Stanley Kubrick, Peter George, Terry Southern",1,0,0,0
Edward Anhalt,1,0,0,0
Robert Stevenson,1,0,0,0
Peter Glenville,1,0,0,1
Grayson Hall,1,0,0,1
Michelangelo Antonioni,1,0,0,0
Debbie Reynolds,1,0,0,4
Lee Tracy,1,0,0,1
Stanley Holloway,1,0,0,1
James R. Webb,1,0,0,0
"Story by Pasquale Festa Campanile, Massimo Franciosa, Nanni Loy, Vasco Pratolini;  Screenplay by Carlo Bernari, Pasquale Festa Campanile, Massimo Franciosa, Nanni Loy",1,0,0,0
"Federico Fellini, Ennio Flaiano, Tullio Pinelli, Brunello Rondi",1,0,0,0
John Osborne,1,0,0,0
"Serge Bourguignon, Antoine Tudal",1,0,0,0
James Poe,1,0,0,0
"Richard L. Breen, Phoebe Ephron, Henry Ephron",1,0,0,0
Lee Marvin,1,0,0,2
Oskar Werner,1,0,0,3
Martin Balsam,1,0,0,1
Ian Bannen,1,0,1,0
Vivien Merchant,1,0,0,1
Jocelyne Lagarde,1,0,0,0
Sandy Dennis,1,0,0,2
Ida Kaminska,1,0,0,1
Anouk Aimee,1,0,0,0
Robert Shaw,1,0,0,1
George Segal,1,0,0,4
Mako,1,0,0,1
Jacques Demy,1,0,0,0
"Franklin Coen, Frank Davis",1,0,0,0
"Jack Davies, Ken Annakin",1,0,0,0
"Age, Scarpelli, Mario Monicelli, Tonino Guerra, Giorgio Salvioni, Suso Cecchi D'Amico",1,0,0,0
Herb Gardner,1,0,0,0
"Stanley Mann, John Kohn",1,0,0,0
"Walter Newman, Frank R. Pierson",1,0,0,0
Hiroshi Teshigahara,1,0,0,0
Peggy Wood,1,0,0,1
Elizabeth Hartman,1,0,0,2
Samantha Eggar,1,0,0,1
Frank Finlay,1,0,0,1
Michael Dunn,1,0,0,0
Written by Celine Song,1,0,0,0
Saturday Night Live,0,77,0,0
30 Rock,0,73,0,0
Modern Family,0,46,0,0
Veep,0,40,0,0
Curb Your Enthusiasm,0,30,0,0
The Office,0,27,0,0
American Masters,0,24,0,0
Two And A Half Men,0,23,0,0
The Big Bang Theory,0,22,0,0
Glee,0,21,0,0
Desperate Housewives,0,20,0,0
The Simpsons,0,20,0,0
Entourage,0,18,0,0
The Marvelous Mrs. Maisel,0,17,0,0
Silicon Valley,0,16,0,0
Transparent,0,16,0,0
Louie,0,15,0,0
Arrested Development,0,15,0,0
Barry,0,15,0,0
Monk,0,14,0,0
Girls,0,14,0,0
Atlanta,0,14,0,0
Unbreakable Kimmy Schmidt,0,13,0,0
Family Guy,0,13,0,0
black-ish,0,13,0,0
Nurse Jackie,0,12,0,0
The Colbert Report,0,11,0,0
Biography,0,11,0,0
The Daily Show With Jon Stewart,0,11,0,0
Inside The Actors Studio,0,10,0,0
Episodes,0,9,0,0
Mildred Pierce,0,9,0,0
Last Week Tonight With John Oliver,0,9,0,0
Ugly Betty,0,9,0,0
Parks And Recreation,0,9,0,0
Extras,0,8,0,0
John Adams,0,8,0,0
Master Of None,0,8,0,0
Fleabag,0,8,0,0
American Horror Story: Coven,0,8,0,0
Luther,0,8,0,0
Weeds,0,8,0,0
Inside Amy Schumer,0,7,0,0
This American Life,0,7,0,0
Recount,0,7,0,0
American Experience,0,7,0,0
Hatfields & McCoys,0,7,0,0
Game Change,0,7,0,0
THE SIMPSONS,0,7,0,0
Shameless,0,7,0,0
Jimmy Kimmel Live,0,6,0,0
Broken Trail,0,6,0,0
Scrubs,0,6,0,0
Grey Gardens,0,6,0,0
My Name Is Earl,0,6,0,0
The Late Show With Stephen Colbert,0,6,0,0
Flight Of The Conchords,0,6,0,0
You Don't Know Jack,0,6,0,0
Temple Grandin,0,6,0,0
The Good Place,0,6,0,0
Too Big To Fail,0,6,0,0
Anthony Bourdain: No Reservations,0,6,0,0
Portlandia,0,6,0,0
How I Met Your Mother,0,6,0,0
Grace And Frankie,0,5,0,0
Robot Chicken,0,5,0,0
Little Dorrit (Masterpiece),0,5,0,0
Into The Storm,0,5,0,0
Pushing Daisies,0,5,0,0
Key & Peele,0,5,0,0
Alice,0,5,0,0
Deadliest Catch,0,5,0,0
The Pacific,0,5,0,0
Downton Abbey,0,5,0,0
Penn & Teller: Bullshit!,0,5,0,0
The Amazing Race,0,5,0,0
Full Frontal With Samantha Bee,0,5,0,0
American Horror Story: Asylum,0,5,0,0
Phil Spector,0,5,0,0
Sherlock: A Scandal In Belgravia (Masterpiece),0,5,0,0
Hemingway & Gellhorn,0,5,0,0
American Horror Story,0,5,0,0
The Tonight Show Starring Jimmy Fallon,0,5,0,0
Anthony Bourdain Parts Unknown,0,5,0,0
Bury My Heart At Wounded Knee,0,5,0,0
Mom,0,5,0,0
The Starter Wife,0,5,0,0
Extras: The Extra Special Series Finale,0,4,0,0
GLOW,0,4,0,0
House Of Lies,0,4,0,0
The Kennedys,0,4,0,0
Prime Suspect: The Final Act (Masterpiece Theatre),0,4,0,0
The New Adventures Of Old Christine,0,4,0,0
Russian Doll,0,4,0,0
The Special Relationship,0,4,0,0
Real Time With Bill Maher,0,4,0,0
Baskets,0,4,0,0
Cranford (MASTERPIECE),0,4,0,0
Bernard And Doris,0,4,0,0
Behind The Candelabra,0,3,0,0
Upstairs Downstairs (Masterpiece),0,3,0,0
The Looney Tunes Show,0,3,0,0
Late Show With David Letterman,0,3,0,0
Mike & Molly,0,3,0,0
Moguls & Movie Stars,0,3,0,0
Schitt's Creek,0,3,0,0
Futurama,0,3,0,0
Cinema Verite,0,3,0,0
The Girl,0,3,0,0
Late Night With Seth Meyers,0,3,0,0
New Girl,0,3,0,0
Behind the Candelabra,0,3,0,0
Political Animals,0,3,0,0
Star Wars: The Legacy Revealed,0,3,0,0
Top of the Lake,0,3,0,0
Project Runway,0,3,0,0
Gasland,0,3,0,0
The Big Bang Theory ,0,3,0,0
The Last Man On Earth,0,3,0,0
Samantha Who?,0,3,0,0
Taking Chance,0,3,0,0
Brooklyn Nine-Nine,0,3,0,0
The War,0,3,0,0
Getting On,0,3,0,0
Generation Kill,0,3,0,0
Return To Cranford (Masterpiece),0,3,0,0
Roman Polanski: Wanted And Desired,0,3,0,0
Walt Whitman (American Experience),0,2,0,0
When The Levees Broke: A Requiem In Four Acts,0,2,0,0
Longford,0,2,0,0
Drunk History,0,2,0,0
American Idol,0,2,0,0
George Harrison: Living In The Material World,0,2,0,0
Wallander: One Step Behind,0,2,0,0
Autism: The Musical,0,2,0,0
Ghosts Of Abu Ghraib,0,2,0,0
Documentary Now!,0,2,0,0
A Raisin In The Sun,0,2,2,0
United States Of Tara,0,2,0,0
The Big C,0,2,0,0
Planet Earth,0,2,0,0
Raising Hope,0,2,0,0
Top Chef,0,2,0,0
Freedom Riders,0,2,0,0
Georgia O'Keeffe,0,2,0,0
F Is For Family,0,2,0,0
Gettysburg,0,2,0,0
Becoming Chaz,0,2,0,0
The Kominsky Method,0,2,0,0
Tsunami,0,2,0,0
Mea Maxima Culpa: Silence In The House Of God,0,2,0,0
Monty Python: Almost The Truth (The Lawyer's Cut),0,2,0,0
Carlos,0,2,0,0
Will & Grace,0,2,0,0
Jane Eyre (Masterpiece Theatre),0,2,0,0
Life,0,2,0,0
The National Parks: America's Best Idea,0,2,0,0
By The People:  The Election Of Barack Obama,0,2,0,0
My Lai,0,2,0,0
Survivor,0,2,0,0
Bob's Burgers,0,2,0,0
SuperMansion,0,2,0,0
Better Things,0,2,0,0
American Dad!,0,2,0,0
The Late Late Show With James Corden,0,2,0,0
The Roosevelts: An Intimate History,0,2,0,0
Kurt Cobain: Montage Of Heck,0,2,0,0
Top Of The Lake,0,2,0,0
Savage Kingdom,0,2,0,0
The Big C: Hereafter,0,2,0,0
Going Clear: Scientology And The Prison Of Belief,0,2,0,0
Jackie Robinson,0,2,0,0
Parade's End,0,2,0,0
Catastrophe,0,2,0,0
Enlightened,0,2,0,0
Our Planet,0,2,0,0
Jane The Virgin,0,2,0,0
Making A Murderer,0,2,0,0
Ethel,0,2,0,0
13th,0,2,1,0
The Hour,0,2,0,0
Planet Earth II,0,2,0,0
South Park,0,2,0,0
Late Night With Jimmy Fallon,0,2,0,0
Michael J. Fox: Adventures Of An Incurable Optimist,0,1,0,0
Farrah's Story,0,1,0,0
An American Crime,0,1,0,0
He Named Me Malala,0,1,1,0
The New Adventures Of Old Christine ,0,1,0,0
House Of Saddam,0,1,0,0
Make 'Em Laugh: The Funny Business Of America,0,1,0,0
Relative Stranger,0,1,0,0
Section 60:  Arlington National Cemetery,0,1,0,0
The Memory Loss Tapes,0,1,0,0
Nick News With Linda Ellerbee Coming Home: When Parents Return from War,0,1,0,0
Grandpa,0,1,0,0
The Courageous Heart Of Irena Sendler (Hallmark Hall Of Fame Presentation),0,1,0,0
102 Minutes That Changed America,0,1,0,0
PEN15,0,1,0,0
The Alzheimer's Project: Momentum In Science (Parts 1 & 2),0,1,0,0
Coco Chanel,0,1,0,0
24/7,0,1,0,0
Roots,0,1,0,0
Who Is America?,0,1,0,0
If You're Not In The Obit,0,1,0,0
March Of The Penguins 2: The Next Step,0,1,0,0
Blue Planet II,0,1,0,0
Prayers For Bobby,0,1,0,0
Accidental Friendship,0,1,0,0
What Happened,0,1,0,0
Life Story,0,1,0,0
Cyrano de Bergerac (Great Performances),0,1,0,0
King Lear (Great Performances),0,1,0,0
24: Redemption,0,1,0,0
The Librarian:  Curse of the Judas Chalice,0,1,0,0
Chef's Table,0,1,0,0
The Last Man On Earth ,0,1,0,0
Breakthrough,0,1,0,0
Alive Day Memories:  Home From Iraq,0,1,0,0
Cartel Land,0,1,1,0
Bill Nye Saves The World,0,1,0,0
Life Support,0,1,0,0
The Ron Clark Story,0,1,0,0
Nightmares & Dreamscapes: From The Stories Of Stephen King,0,1,0,0
Jesse Stone: Sea Change,0,1,0,0
Wild New Zealand,0,1,0,0
Wild Scotland,0,1,0,0
Year Million,0,1,0,0
The Christmas Card,0,1,0,0
The Vietnam War,0,1,0,0
Blood Diamonds,0,1,0,0
Brando,0,1,0,0
AFI's 100 Years....100 Cheers: America's Most Inspiring Movies,0,1,0,0
O.J.: Made In America,0,1,0,0
Thin,0,1,0,0
Bright Lights: Starring Carrie Fisher And Debbie Reynolds,0,1,0,0
Extreme Makeover: Home Edition,0,1,0,0
Antiques Roadshow,0,1,0,0
King Of The Hill,0,1,0,0
ER,0,1,0,0
Muhammad Ali: Only One,0,1,0,0
What If God Were The Sun,0,1,0,0
UConn: The March To Madness,0,1,0,0
Amanda Knox,0,1,0,0
Pictures Of Hollis Woods (Hallmark Hall Of Fame Presentation),0,1,0,0
The Company,0,1,0,0
Black Monday,0,1,0,0
AFI's 100 Years...100 Movies - 10th Anniversary Edition,0,1,0,0
The Beatles: Eight Days A Week - The Touring Years,0,1,1,0
The Pixar Story,0,1,0,0
Pioneers Of Television - Late Night: Johnny,0,1,0,0
Oswald's Ghost (American Experience),0,1,0,0
White Light/Black Rain,0,1,0,0
The Robber Bride,0,1,0,0
Mister Rogers: It's You I Like,0,1,0,0
The Andromeda Strain,0,1,0,0
Tin Man,0,1,0,0
Life After People,0,1,0,0
Intervention,0,1,0,0
When You Wish Upon A Pickle: A Sesame Street Special,0,1,0,0
My Name is Earl,0,1,0,0
Five Came Back,0,1,0,0
Modern Family ,0,1,0,0
Terror In Mumbai,0,1,0,0
The Sarah Silverman Program,0,1,0,0
Parks and Recreation,0,1,0,0
Paradise Lost 3: Purgatory,0,1,0,0
The Case Against Adnan Syed,0,1,0,0
Disney Phineas And Ferb: Across The 2nd Dimension,0,1,0,0
Disney Prep & Landing: Naughty Vs. Nice,0,1,0,0
Sesame Street: Growing Hope Against Hunger,0,1,0,0
Dead To Me,0,1,0,0
Prohibition,0,1,0,0
Fyre Fraud,0,1,0,0
Hot In Cleveland,0,1,0,0
Roseanne,0,1,0,0
Disney Mickey Mouse,0,1,0,0
Taken From Me: The Tiffany Rubin Story,0,1,0,0
The World Wars,0,1,0,0
Bonnie & Clyde,0,1,0,0
Hostile Planet,0,1,0,0
The Trip To Bountiful,0,1,0,0
BoJack Horseman,0,1,0,0
Thurgood,0,1,0,0
Sherlock: A Study In Pink (Masterpiece),0,1,0,0
Paul Simon's Graceland Journey: Under African Skies,0,1,0,0
6 Days To Air: The Making Of South Park,0,1,0,0
Gloria: In Her Own Words,0,1,0,0
Ring Of Fire,0,1,0,0
An Apology To Elephants,0,1,0,0
Robot Chicken DC Comics Special,0,1,0,0
The Dust Bowl,0,1,0,0
The Men Who Built America,0,1,0,0
The Bible,0,1,0,0
Queens Of Mystery,0,1,0,0
The Many Lives Of Nick Buoniconti,0,1,0,0
Community,0,1,0,0
The Song Of Lunch (Masterpiece),0,1,0,0
Bobby Fischer Against The World,0,1,0,0
Missing,0,1,2,0
Wonders Of Mexico,0,1,0,0
Steel Magnolias,0,1,0,0
Restless,0,1,0,0
Page Eight (Masterpiece),0,1,0,0
The Weight Of The Nation,0,1,0,0
Jane,0,1,1,0
Frozen Planet,0,1,0,0
The Pillars Of The Earth,0,1,0,0
The Jinx: The Life And Deaths Of Robert Durst,0,1,0,0
The Buddha,0,1,0,0
30 For 30,0,1,0,0
The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,0,1,0,0
Last Days In Vietnam (American Experience),0,1,0,0
The Simpsons: 20th Anniversary Special - In 3-D! On Ice!,0,1,0,0
Teddy:  In His Own Words,0,1,0,0
Saturday Night Live In The 2000s: Time And Again,0,1,0,0
Believe: The Eddie Izzard Story,0,1,0,0
Johnny Mercer: The Dream's On Me,0,1,0,0
Brick City,0,1,0,0
Sergio,0,1,0,0
Pressure Cooker,0,1,0,0
Walt Disney (American Experience),0,1,0,0
The Betrayal (Nerakhoon),0,1,0,0
Patti Smith: Dream Of Life,0,1,0,0
When Families Grieve,0,1,0,0
Nick News With Linda Ellerbee - The Face Of Courage: Kids Living With Cancer,0,1,0,0
Everything Is Copy - Nora Ephron: Scripted & Unscripted,0,1,0,0
Archer,0,1,0,0
Disney Prep & Landing,0,1,0,0
America The Story Of Us,0,1,0,0
Hamlet (Great Performances),0,1,0,0
Emma (Masterpiece),0,1,0,0
Insecure,0,1,0,0
Wu-Tang Clan: Of Mics And Men,0,1,0,0
Pioneers Of Television,0,1,0,0
Jaws: The Inside Story,0,1,0,0
His Way,0,1,0,0
Citizenfour,0,1,0,0
Stand Up To Cancer,0,1,0,0
Foo Fighters: Sonic Highways,0,1,0,0
The Comedians,0,1,0,0
The Most Dangerous Man In America: Daniel Ellsberg And The Pentagon Papers (POV),0,1,0,0
The Flood,0,1,0,0
A Dog Year,0,1,0,0
The Comeback,0,1,0,0
Operation Orangutan,0,1,0,0
The Defiant Ones,0,1,2,0
Hubble's Cosmic Journey,0,1,0,0
Anthony Bourdain: Parts Unknown,0,1,0,0
Capturing Mary,0,1,0,0
Too Cute!,0,1,0,0
The Prisoner,0,1,1,0
Icarus,0,1,1,0
Gandhi,0,0,7,0
The Favourite,0,0,7,0
The Shape of Water,0,0,6,0
The Killing Fields,0,0,6,0
Once Upon a Time.. in Hollywood,0,0,6,0
Roma,0,0,6,0
The Irishman,0,0,6,0
"Three Billboards Outside Ebbing, Missouri",0,0,6,0
Chariots Of Fire,0,0,5,0
Romeo And Juliet,0,0,5,0
The King Of Comedy,0,0,5,0
Cinema Paradiso,0,0,5,0
Joker,0,0,4,0
Local Hero,0,0,4,0
Network,0,0,4,0
All The President's Men,0,0,4,0
Reds,0,0,4,0
Jack Hawkins,0,0,4,0
The French Lieutenant's Woman,0,0,4,0
Vice,0,0,4,0
The Elephant Man,0,0,4,0
The Angry Silence,0,0,4,0
Manhattan,0,0,4,0
Parasite,0,0,4,0
Apocalypse Now,0,0,4,0
Oh! What A Lovely War,0,0,4,0
Hope And Glory,0,0,4,0
The Mission,0,0,4,0
The Last Picture Show,0,0,4,0
