nominee,oscar_nomination,emmy_nomination,bafta_nomination,golden_globe_nomination,director_count,writer_count,actor_count
Diana Rigg,0,0,0,1,0,0,4
Sandy Duncan,0,0,0,1,0,0,4
Twiggy,0,0,0,1,0,0,1
Lynda Day George,0,0,0,1,0,0,3
Art Garfunkel,0,0,0,1,0,0,1
Tom Baker,0,0,0,1,0,0,0
Dean Jones,0,0,0,1,1,1,3
Bud Cort,0,0,0,1,0,0,12
 Topol,0,0,0,1,0,2,7
Malcolm McDowell,0,0,0,1,0,0,35
Jessica Walter,0,0,0,1,0,0,7
Lesley Warren,0,0,0,1,0,0,0
Karen Valentine,0,0,0,1,0,0,2
Milburn Stone,0,0,0,1,0,0,0
Trish Van Devere,0,0,0,1,0,0,3
Edward Albert,0,0,0,1,0,0,11
Charles Grodin,0,0,0,1,0,0,14
Marisa Berenson,0,0,0,1,0,0,9
Helena Kallianiotes,0,0,0,1,0,0,1
Alec McCowen,0,0,0,1,0,0,6
Clive Revill,0,0,0,1,0,0,9
Anne Jeffreys,0,0,0,1,0,0,1
David Hartman,0,0,0,1,0,0,0
Paul Lynde,0,0,0,1,0,0,0
Ruth Buzzi,0,0,0,1,0,0,3
Tige Andrews,0,0,0,1,0,0,1
Zalman King,0,0,0,1,3,2,2
Lloyd Haines,0,0,0,1,0,0,0
Petula Clark,0,0,0,1,0,0,0
Carl Betz,0,0,0,1,0,0,0
Geneviève Bujold,0,0,0,1,0,0,14
Marianne McAndrew,0,0,0,1,0,0,1
Sian Phillips,0,0,0,1,0,0,0
Mitch Vogel,0,0,0,1,0,0,0
Charles Jarrott,0,0,0,1,4,0,0
Jim Nabors,0,0,0,1,0,0,1
Glen Campbell,0,0,0,1,0,0,3
Kim Darby,0,0,0,1,0,0,2
Danny Thomas,0,0,0,1,0,0,1
Tina Chen,0,0,0,1,0,0,1
Bob Rafelson,0,0,0,1,7,1,0
David Frost,0,0,0,1,1,1,0
Merv Griffin,0,0,0,1,0,0,0
George Englund,0,0,0,1,0,0,0
Hall Bartlett,0,0,0,1,0,0,0
Ethel Merman,0,0,0,1,0,0,2
Tom Ewell,0,0,0,1,0,0,2
Richard Fleischer,0,0,0,1,6,0,0
Cecil B. deMille,0,0,0,1,7,0,1
Kurt Kasznar,0,0,0,1,0,0,2
Millard Mitchell,0,0,0,1,0,0,4
Eli Wallach,0,0,0,1,0,0,15
Jacques Bergerac,0,0,0,1,0,0,2
Machiko Kyo,0,0,0,1,0,0,0
Kay Kendall,0,0,0,1,0,0,2
Donald O'Connor,0,0,0,1,0,0,4
J. Carroll Naish,0,0,0,1,0,0,0
David Brian,0,0,0,1,0,0,3
Harold Lloyd,0,0,0,1,0,0,1
Betty Hutton,0,0,0,1,0,0,2
Laslo Benedek,0,0,0,1,1,0,0
June Allyson,0,0,0,1,0,0,3
Cyd Charisse,0,0,0,1,0,0,4
Louis Jourdan,0,0,0,1,0,0,6
Gregory Rozakis,0,0,0,1,0,0,1
Harold J. Stone,0,0,0,1,0,0,1
Cesar Romero,0,0,0,1,0,0,4
Ross Martin,0,0,0,1,0,0,1
Tarita,0,0,0,1,0,0,2
Kaye Stevens,0,0,0,1,0,0,1
Martha Raye,0,0,0,1,0,0,2
Gabriella Pallotta,0,0,0,1,0,0,1
Jimmy Durante,0,0,0,1,0,0,1
Susan Strasberg,0,0,0,1,0,0,1
Morton DaCosta,0,0,0,1,2,0,0
Polly Bergen,0,0,0,1,0,0,3
Romy Schneider,0,0,0,1,0,0,5
Alida Valli,0,0,0,1,0,0,5
Marina Vlady,0,0,0,1,0,0,2
Tom Tryon,0,0,0,1,0,0,0
Stathis Giallelis,0,0,0,1,0,0,0
Terry-Thomas,0,0,0,1,0,0,4
Jonathan Winters,0,0,0,1,0,0,6
Linda Marsh,0,0,0,1,0,0,0
Liselotte Pulver,0,0,0,1,0,0,1
Diane Baker,0,0,0,1,0,0,7
Joan Greenwood,0,0,0,1,0,0,1
Roddy McDowall,0,0,0,1,0,0,17
Pauline Frederick,0,0,0,1,0,0,0
John Daly,0,0,0,1,0,0,1
David Ladd,0,0,0,1,0,0,1
Mitzi Gaynor,0,0,0,1,0,0,3
Estelle Hemsley,0,0,0,1,0,0,0
Joseph Welch,0,0,0,1,0,0,0
Nancy Kwan,0,0,0,1,0,0,2
Ina Balin,0,0,0,1,0,0,0
Anthony Mann,0,0,0,1,1,0,1
Ray Stricklyn,0,0,0,1,0,0,1
Woody Strode,0,0,0,1,0,0,5
Lee Kinsolving,0,0,0,1,0,0,0
Capucine,0,0,0,1,0,0,7
Claudia McNeil,0,0,0,1,0,0,0
Richard Beymer,0,0,0,1,0,0,1
Fred MacMurray,0,0,0,1,0,0,6
Pamela Tiffin,0,0,0,1,0,0,1
Elena Verdugo,0,0,0,1,0,0,0
JoBeth Williams,0,0,0,1,0,0,17
Fred Schepisi,0,0,0,1,12,1,0
Lou Diamond Phillips,0,0,0,1,0,0,17
Diane Venora,0,0,0,1,0,0,17
Alan Rachins,0,0,0,1,0,0,2
Judd Nelson,0,0,0,1,0,0,16
Brian McNamara,0,0,0,1,0,0,5
John Larroquette,0,0,0,1,0,0,10
Gordon Thomson,0,0,0,1,0,0,1
Julia Duffy,0,0,0,1,0,0,3
Allyce Beasley,0,0,0,1,0,0,5
Ron Perlman,0,0,0,1,0,0,48
Jackée Harry,0,0,0,1,0,0,0
Swoosie Kurtz,0,0,0,1,0,0,16
Barry Bostwick,0,0,0,1,0,0,10
Lane Smith,0,0,0,1,0,0,14
Mel Harris,0,0,0,1,0,0,5
Ken Olin,0,0,0,1,0,0,0
Stephanie Beacham,0,0,0,1,0,0,2
Christopher Burke,0,0,0,1,0,0,0
Gérard Depardieu,0,0,0,1,0,0,64
Macaulay Culkin,0,0,0,1,0,0,11
Hector Elizondo,0,0,0,1,0,0,22
Alan Thicke,0,0,0,1,0,0,5
Ted Neeley,0,0,0,1,0,0,0
John James,0,0,0,1,0,0,2
Ed Begley Jr.,0,0,0,1,0,0,24
Lesley-Anne Down,0,0,0,1,0,0,7
Inga Swenson,0,0,0,1,0,0,1
Philip Michael Thomas,0,0,0,1,0,0,1
Eric Stoltz,0,0,0,1,0,0,27
R. Lee Ermey,0,0,0,1,0,0,29
Griffin Dunne,0,0,0,1,1,0,17
Ben Vereen,0,0,0,1,0,0,3
Roxana Zal,0,0,0,1,0,0,3
Matthew Broderick,0,0,0,1,0,0,27
Linda Kozlowski ,0,0,0,1,0,0,0
Ray Liotta,0,0,0,1,0,0,45
Connie Sellecca,0,0,0,1,0,0,1
William Devane,0,0,0,1,0,0,11
Justine Bateman,0,0,0,1,0,0,1
Ron Leibman,0,0,0,1,0,0,7
Rachel Levin,0,0,0,1,0,0,0
Jennifer Grey,0,0,0,1,0,0,12
Annette O'Toole,0,0,0,1,0,0,5
Suzanne Pleshette,0,0,0,1,0,0,1
John Leguizamo,0,0,0,1,0,1,50
Lisa Kudrow,0,0,0,1,0,0,17
Daniel Benzali,0,0,0,1,0,0,8
Charles S. Dutton,0,0,0,1,2,1,24
Stephanie Zimbalist,0,0,0,1,0,0,0
Fyvush Finkel,0,0,0,1,0,0,4
Jane Leeves,0,0,0,1,0,0,3
Liz Torres,0,0,0,1,0,0,4
Leigh Taylor-Young,0,0,0,1,0,0,0
Laura Leighton,0,0,0,1,0,0,2
Irene Bedard,0,0,0,1,0,0,6
Henry Thomas,0,0,0,1,0,0,23
Courtney Love,0,0,0,1,0,0,6
Madonna,0,0,0,1,2,2,15
Marion Ross,0,0,0,1,0,0,1
Cuba Gooding Jr.,0,0,0,1,0,0,33
Isabella Rossellini,0,0,0,1,0,0,20
Kristen Johnston,0,0,0,1,0,0,5
Greta Scacchi,0,0,0,1,0,0,16
Joey Lauren Adams,0,0,0,1,1,1,13
Pam Grier,0,0,0,1,0,0,22
Arnold Schwarzenegger,0,0,0,1,0,0,32
Michael Jeter,0,0,0,1,0,0,17
Ricky/Rick Schroder,0,0,0,1,0,0,0
Patricia Wettig,0,0,0,1,0,0,3
Sherilyn Fenn,0,0,0,1,0,0,9
Barry Miller,0,0,0,1,0,0,6
Terry Gilliam,0,0,0,1,12,8,3
Lynn Whitfield,0,0,0,1,0,0,14
Amanda Donohoe,0,0,0,1,0,0,3
Sammi Davis-Voss,0,0,0,1,0,0,0
Chris O'Donnell,0,0,0,1,0,0,17
Theresa Saldana,0,0,0,1,0,0,5
Philip Casnoff,0,0,0,1,0,0,1
Regina Taylor,0,0,0,1,0,0,7
Colm Meaney,0,0,0,1,0,0,30
Penelope Ann Miller,0,0,0,1,0,0,23
Andrew Davis,0,0,0,1,12,3,0
David Caruso,0,0,0,1,0,0,13
Cynthia Gibb,0,0,0,1,0,0,5
Cecilia Peck,0,0,0,1,0,0,1
Marla Gibbs,0,0,0,1,0,0,5
Selma Diamond,0,0,0,1,0,0,1
Sherman Hemsley,0,0,0,1,0,0,4
Darleen Carr,0,0,0,1,0,0,3
Leslie Uggams,0,0,0,1,0,0,1
Adrienne Barbeau,0,0,0,1,0,0,9
Kathleen Beller,0,0,0,1,0,0,1
Anne Meara,0,0,0,1,0,0,6
Josette Banzet,0,0,0,1,0,0,0
Freddie Prinze,0,0,0,1,0,0,17
Sammy Davis Jr.,0,0,0,1,0,0,4
Dinah Shore,0,0,0,1,0,0,0
Lee Majors,0,0,0,1,0,0,6
Robert Conrad,0,0,0,1,0,0,2
Cindy Williams,0,0,0,1,0,0,5
Brad Davis,0,0,0,1,0,0,2
Olivia Newton-John,0,0,0,1,0,0,4
Chevy Chase,0,0,0,1,0,0,27
Mona Washbourne,0,0,0,1,0,0,2
Richard Hatch,0,0,0,1,0,0,3
Michael Landon,0,0,0,1,3,2,0
Suzanne Somers,0,0,0,1,0,0,0
Norman Fell,0,0,0,1,0,0,8
Lisa Eichhorn,0,0,0,1,0,1,4
Richard Jordan,0,0,0,1,0,0,11
Betty Garrett,0,0,0,1,0,0,1
Carl Anderson,0,0,0,1,0,0,1
Julie London,0,0,0,1,0,0,1
Emily McLaughlin,0,0,0,1,0,0,0
Dom De Luise,0,0,0,1,0,0,0
McLean Stevenson,0,0,0,1,0,0,0
Strother Martin,0,0,0,1,0,0,5
Teresa Graves,0,0,0,1,0,0,1
Esther Rolle,0,0,0,1,0,0,3
Whitman Mayo,0,0,0,1,0,0,0
Marty Feldman,0,0,0,1,0,0,3
Marilyn Hassett,0,0,0,1,0,0,0
John Cazale,0,0,0,1,0,0,5
Barry Newman,0,0,0,1,0,0,5
Johnny Carson,0,0,0,1,0,0,0
Susan Howard,0,0,0,1,0,0,0
Kris Kristofferson,0,0,0,1,0,0,32
Jack Weston,0,0,0,1,0,0,7
Marthe Keller,0,0,0,1,0,0,9
Susan Clark,0,0,0,1,0,0,4
Lionel Stander,0,0,0,1,0,0,4
Linda Ronstadt,0,0,0,1,0,0,0
Jennifer Beals,0,0,0,1,0,0,17
Bonnie Bedelia,0,0,0,1,0,0,11
Anson Williams,0,0,0,1,0,0,0
Lorenzo Lamas,0,0,0,1,0,0,14
Victoria Principal,0,0,0,1,0,0,1
Robby Benson,0,0,0,1,1,1,8
Philip Anglim,0,0,0,1,0,0,1
Lucy Gutteridge,0,0,0,1,0,0,1
Constantin Costa-Gavras,0,0,0,1,0,0,0
Jim Metzler,0,0,0,1,0,0,7
Barbara Carrera,0,0,0,1,0,0,9
Joanna Pacula,0,0,0,1,0,0,11
Kurt Russell,0,0,0,1,0,0,38
Joanna Cassidy,0,0,0,1,0,0,19
Victoria Tennant,0,0,0,1,0,1,2
Bryan Brown,0,0,0,1,0,0,20
Perry King,0,0,0,1,0,0,4
Jeffrey Jones,0,0,0,1,0,0,22
Sergio Leone,0,0,0,1,5,4,1
Jane Curtin,0,0,0,1,0,0,8
David Keith,0,0,0,1,1,1,26
Lainie Kazan,0,0,0,1,0,0,15
Scott Wilson,0,0,0,1,0,0,24
Kate Mulgrew,0,0,0,1,0,0,3
Erik Estrada,0,0,0,1,0,0,3
Donna Pescow,0,0,0,1,0,0,1
Wilfred Hyde-White,0,0,0,1,0,0,0
David Doyle,0,0,0,1,0,0,3
Nastassja Kinski,0,0,0,1,0,0,14
Deborah Raffin,0,0,0,1,0,0,3
Irene Cara,0,0,0,1,0,0,1
Neil Diamond,0,0,0,1,0,0,1
Lucie Arnaz,0,0,0,1,0,0,1
Beverly D'Angelo,0,0,0,1,0,0,21
Aileen Quinn,0,0,0,1,0,0,2
Yoko Shimada,0,0,0,1,0,0,0
Melissa Gilbert,0,0,0,1,0,0,0
Wayne Rogers,0,0,0,1,0,0,4
Geoffrey Lewis,0,0,0,1,0,0,28
Howard E. Rollins Jr.,0,0,0,1,0,0,1
Jaclyn Smith,0,0,0,1,0,0,0
Morgan Fairchild,0,0,0,1,0,0,5
Barbara Mandrell,0,0,0,1,0,0,0
Lauren Tewes,0,0,0,1,0,0,1
Danielle Brisebois,0,0,0,1,0,0,0
Herve Villechaize,0,0,0,1,0,0,0
Andrew Scott,0,0,0,1,0,0,10
